Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
2003-06-16,Romania,1.0,0.0,1.0
2003-06-16,Russian Federation,1.0,0.0,0.0
2003-06-16,Singapore,206.0,31.0,169.0
2003-06-16,South Africa,1.0,1.0,0.0
2003-06-16,Spain,1.0,0.0,1.0
2003-06-16,Sweden,3.0,0.0,3.0
2003-06-16,Switzerland,1.0,0.0,1.0
2003-06-16,Thailand,9.0,2.0,6.0
2003-06-16,United Kingdom,4.0,0.0,4.0
2003-06-16,United States,72.0,0.0,36.0
2003-06-16,Viet Nam,63.0,5.0,58.0
2003-06-17,Brazil,3.0,0.0,2.0
2003-06-17,Canada,247.0,32.0,171.0
2003-06-17,China,5326.0,346.0,4725.0
2003-06-17,Hong Kong SAR, China,1755.0,295.0,1387.0
2003-06-17,Macao SAR, China,1.0,0.0,1.0
2003-06-17,Taiwan, China,697.0,83.0,460.0
2003-06-17,Colombia,1.0,0.0,1.0
2003-06-17,Finland,1.0,0.0,1.0
2003-06-17,France,7.0,0.0,6.0
2003-06-17,Germany,10.0,0.0,9.0
2003-06-17,India,3.0,0.0,3.0
2003-06-17,Indonesia,2.0,0.0,2.0
2003-06-17,Italy,9.0,0.0,9.0
2003-06-17,Kuwait,1.0,0.0,1.0
2003-06-17,Malaysia,5.0,2.0,3.0
2003-06-17,Mongolia,9.0,0.0,9.0
2003-06-17,New Zealand,1.0,0.0,1.0
2003-06-17,Philippines,14.0,2.0,12.0
2003-06-17,Republic of Ireland,1.0,0.0,1.0
2003-06-17,Republic of Korea,3.0,0.0,3.0
2003-06-17,Romania,1.0,0.0,1.0
2003-06-17,Russian Federation,1.0,0.0,0.0
2003-06-17,Singapore,206.0,31.0,169.0
2003-06-17,South Africa,1.0,1.0,0.0
2003-06-17,Spain,1.0,0.0,1.0
2003-06-17,Sweden,3.0,0.0,3.0
2003-06-17,Switzerland,1.0,0.0,1.0
2003-06-17,Thailand,9.0,2.0,6.0
2003-06-17,United Kingdom,4.0,0.0,4.0
2003-06-17,United States,73.0,0.0,36.0
2003-06-17,Viet Nam,63.0,5.0,58.0
2003-06-18,Brazil,3.0,0.0,2.0
