Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
NaN,CENTRAL STATE BANK OF SHERMAN,COMMERCIAL BANK,STATE,SHERMAN, TX,12/31/1936 ,FDIC,NaN,PAYOUT,219.0,312.0,NaN
NaN,BANK OF HOUGHTON,COMMERCIAL BANK,STATE,HOUGHTON, SD,1/12/1937 ,FDIC,NaN,PAYOUT,50.0,82.0,NaN
NaN,SARGENT COUNTY BANK,COMMERCIAL BANK,STATE,FORMAN, ND,1/14/1937 ,FDIC,NaN,ACQUISITION,154.0,NaN,NaN
NaN,FARMERS BANK OF TRENTON,COMMERCIAL BANK,STATE,TRENTON, MO,2/10/1937 ,FDIC,NaN,PAYOUT,323.0,335.0,NaN
NaN,AKASKA STATE BANK,COMMERCIAL BANK,STATE,AKASKA, SD,2/18/1937 ,FDIC,NaN,PAYOUT,62.0,92.0,NaN
NaN,FARMERS STATE BANK,COMMERCIAL BANK,STATE,CORSICA, SD,2/18/1937 ,FDIC,NaN,PAYOUT,164.0,205.0,NaN
NaN,THE FIRST NATIONAL BANK OF ISMAY,COMMERCIAL BANK,FEDERAL,ISMAY, MT,2/20/1937 ,FDIC,NaN,ACQUISITION,83.0,NaN,NaN
NaN,THE CITIZENS STATE BANK OF LEBANON,COMMERCIAL BANK,STATE,LEBANON, SD,2/20/1937 ,FDIC,NaN,PAYOUT,112.0,154.0,NaN
NaN,RIO STATE BANK,COMMERCIAL BANK,STATE,RIO, IL,3/26/1937 ,FDIC,NaN,PAYOUT,329.0,384.0,NaN
NaN,FIRST INTERNATIONAL BANK,COMMERCIAL BANK,STATE,NOONAN, ND,4/3/1937 ,FDIC,NaN,PAYOUT,139.0,192.0,NaN
NaN,TEXAS STATE BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,CORPUS CHRISTI, TX,4/8/1937 ,FDIC,NaN,PAYOUT,419.0,628.0,NaN
NaN,FIRST STATE BANK,COMMERCIAL BANK,STATE,ARLINGTON, TX,4/12/1937 ,FDIC,NaN,PAYOUT,720.0,719.0,NaN
NaN,ROBBINS BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,ROBBINS, TN,4/15/1937 ,FDIC,NaN,ACQUISITION,29.0,NaN,NaN
NaN,BANK OF EUREKA,COMMERCIAL BANK,STATE,EUREKA, MO,4/23/1937 ,FDIC,NaN,PAYOUT,57.0,70.0,NaN
NaN,WHITEWOOD BANKING COMPANY,COMMERCIAL BANK,STATE,WHITEWOOD, SD,4/29/1937 ,FDIC,NaN,PAYOUT,88.0,124.0,NaN
NaN,ST. ONGE STATE BANK,COMMERCIAL BANK,STATE,ST. ONGE, SD,4/30/1937 ,FDIC,NaN,PAYOUT,61.0,81.0,NaN
NaN,THE CITIZENS BANK,COMMERCIAL BANK,STATE,BUCKLIN, MO,5/1/1937 ,FDIC,NaN,PAYOUT,141.0,157.0,NaN
NaN,FARMERS & MERCHANTS TRUST BANK,COMMERCIAL BANK,STATE,CAPE CHARLES, VA,5/22/1937 ,FDIC,NaN,ACQUISITION,844.0,NaN,NaN
NaN,THE FARMERS NATIONAL BANK OF GRAYVILLE,COMMERCIAL BANK,FEDERAL,GRAYVILLE, IL,5/27/1937 ,FDIC,NaN,ACQUISITION,258.0,NaN,NaN
NaN,CARROLL EXCHANGE BANK,COMMERCIAL BANK,STATE,CARROLLTON, MO,5/29/1937 ,FDIC,NaN,ACQUISITION,787.0,NaN,NaN
NaN,THE FIRST NATIONAL BANK OF MAHANOY CITY,COMMERCIAL BANK,FEDERAL,MAHANOY CITY, PA,6/5/1937 ,FDIC,NaN,ACQUISITION,2060.0,NaN,NaN
NaN,COLOMA STATE BANK,COMMERCIAL BANK,STATE,COLOMA, WI,6/14/1937 ,FDIC,NaN,PAYOUT,79.0,94.0,NaN
NaN,THE ROMNEY BANK,COMMERCIAL BANK,STATE,ROMNEY, IN,6/15/1937 ,FDIC,NaN,PAYOUT,56.0,64.0,NaN
NaN,THE FIRST NATIONAL BANK OF PUKWANA,COMMERCIAL BANK,FEDERAL,PUKWANA, SD,6/16/1937 ,FDIC,NaN,ACQUISITION,127.0,NaN,NaN
NaN,UNION STATE BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,BRYAN, TX,6/16/1937 ,FDIC,NaN,PAYOUT,302.0,359.0,NaN
NaN,THE STATE BANK OF MARCELLUS,COMMERCIAL BANK,STATE,MARCELLUS, MI,6/17/1937 ,FDIC,NaN,PAYOUT,64.0,95.0,NaN
NaN,HARDIN TRUST COMPANY,COMMERCIAL BANK,STATE,HARDIN, MO,6/18/1937 ,FDIC,NaN,PAYOUT,225.0,259.0,NaN
NaN,AMITE RIVER BANK,COMMERCIAL BANK,STATE,DENHAM SPRINGS, LA,6/23/1937 ,FDIC,NaN,PAYOUT,248.0,308.0,NaN
NaN,GHENT DEPOSIT BANK,COMMERCIAL BANK,STATE,GHENT, KY,6/26/1937 ,FDIC,NaN,PAYOUT,189.0,223.0,NaN
NaN,FIRST STATE BANK OF SOUTH SAN ANTONIO,COMMERCIAL BANK,STATE,SAN ANTONIO, TX,6/29/1937 ,FDIC,NaN,PAYOUT,490.0,514.0,NaN
