Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
NaN,RINGGOLD STATE BANK,COMMERCIAL BANK,STATE,RINGGOLD, TX,10/1/1937 ,FDIC,NaN,PAYOUT,51.0,92.0,NaN
NaN,THE FIRST NATIONAL BANK OF PERTH AMBOY,COMMERCIAL BANK,FEDERAL,PERTH AMBOY, NJ,10/2/1937 ,FDIC,NaN,ACQUISITION,3660.0,NaN,NaN
NaN,THE RARITAN TRUST COMPANY,COMMERCIAL BANK,STATE,PERTH AMBOY, NJ,10/2/1937 ,FDIC,NaN,PAYOUT,365.0,707.0,NaN
NaN,PERTH AMBOY TRUST COMPANY,COMMERCIAL BANK,STATE,PERTH AMBOY, NJ,10/2/1937 ,FDIC,NaN,PAYOUT,1344.0,2899.0,NaN
NaN,FARMERS STATE BANK OF CARLISLE,COMMERCIAL BANK,STATE,CARLISLE, MN,10/7/1937 ,FDIC,NaN,PAYOUT,82.0,99.0,NaN
NaN,STATE BANK OF MUNDELEIN,COMMERCIAL BANK,STATE,MUNDELEIN, IL,10/18/1937 ,FDIC,NaN,ACQUISITION,522.0,NaN,NaN
NaN,THE FIRST NATIONAL BANK IN BURLINGTON,COMMERCIAL BANK,FEDERAL,BURLINGTON, IA,10/20/1937 ,FDIC,NaN,ACQUISITION,3594.0,NaN,NaN
NaN,THE NESCOPECK NATIONAL BANK,COMMERCIAL BANK,FEDERAL,NESCOPECK, PA,10/22/1937 ,FDIC,NaN,PAYOUT,329.0,397.0,NaN
NaN,THE LITTLE FERRY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,LITTLE FERRY, NJ,10/22/1937 ,FDIC,NaN,ACQUISITION,744.0,NaN,NaN
NaN,FARMERS STATE BANK,COMMERCIAL BANK,STATE,WYNDMERE, ND,10/23/1937 ,FDIC,NaN,PAYOUT,72.0,100.0,NaN
NaN,FIRST STATE BANK,COMMERCIAL BANK,STATE,BARBOURVILLE, KY,10/29/1937 ,FDIC,NaN,PAYOUT,391.0,425.0,NaN
NaN,FARMERS & MERCHANTS BANK OF ELGIN,COMMERCIAL BANK,STATE,ELGIN, ND,10/30/1937 ,FDIC,NaN,PAYOUT,35.0,57.0,NaN
NaN,CARTER COUNTY COMMERCIAL BANK,COMMERCIAL BANK,STATE,OLIVE HILL, KY,10/30/1937 ,FDIC,NaN,PAYOUT,109.0,139.0,NaN
NaN,FIRST STATE BANK,COMMERCIAL BANK,STATE,CENTER, ND,11/1/1937 ,FDIC,NaN,PAYOUT,52.0,80.0,NaN
NaN,BANK OF ALBA,COMMERCIAL BANK,STATE,ALBA, MO,11/1/1937 ,FDIC,NaN,PAYOUT,79.0,97.0,NaN
NaN,COMMERCIAL BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,UNION CITY, IN,11/4/1937 ,FDIC,NaN,PAYOUT,733.0,853.0,NaN
NaN,BANK OF SWIFTON,COMMERCIAL BANK,STATE,SWIFTON, AR,11/19/1937 ,FDIC,NaN,PAYOUT,157.0,208.0,NaN
NaN,FIRST STATE BANK OF COBDEN,COMMERCIAL BANK,STATE,COBDEN, IL,11/24/1937 ,FDIC,NaN,ACQUISITION,52.0,NaN,NaN
NaN,LOGANVILLE STATE BANK,COMMERCIAL BANK,STATE,LOGANVILLE, WI,11/27/1937 ,FDIC,NaN,ACQUISITION,489.0,NaN,NaN
NaN,STERLING STATE BANK,COMMERCIAL BANK,STATE,STERLING, ND,11/30/1937 ,FDIC,NaN,PAYOUT,84.0,121.0,NaN
NaN,PEOPLES UNITED BANK,COMMERCIAL BANK,STATE,SOUTHPORT, NC,12/2/1937 ,FDIC,NaN,ACQUISITION,162.0,NaN,NaN
NaN,NEVADA TRUST COMPANY,COMMERCIAL BANK,STATE,NEVADA, MO,12/2/1937 ,FDIC,NaN,PAYOUT,189.0,242.0,NaN
NaN,BIG FALLS STATE BANK,COMMERCIAL BANK,STATE,BIG FALLS, WI,12/17/1937 ,FDIC,NaN,PAYOUT,85.0,103.0,NaN
NaN,FIRST NAT BK & TR CO. OF MANHASSET,COMMERCIAL BANK,FEDERAL,MANHASSET, NY,12/20/1937 ,FDIC,NaN,ACQUISITION,1214.0,NaN,NaN
NaN,WORTHVILLE DEPOSIT BANK,COMMERCIAL BANK,STATE,WORTHVILLE, KY,1/11/1938 ,FDIC,NaN,PAYOUT,116.0,141.0,NaN
NaN,BANK OF DECATUR,COMMERCIAL BANK,STATE,DECATUR, AR,1/19/1938 ,FDIC,NaN,PAYOUT,84.0,97.0,NaN
NaN,FIRST STATE BANK OF WOLSEY,COMMERCIAL BANK,STATE,WOLSEY, SD,1/21/1938 ,FDIC,NaN,PAYOUT,90.0,123.0,NaN
NaN,THE WOODMAN STATE BANK,COMMERCIAL BANK,STATE,WOODMAN, WI,1/22/1938 ,FDIC,NaN,ACQUISITION,152.0,NaN,NaN
NaN,BELLEVILLE BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,BELLEVILLE, IL,1/26/1938 ,FDIC,NaN,ACQUISITION,2795.0,NaN,NaN
NaN,THE TROUT CREEK STATE BANK,COMMERCIAL BANK,STATE,TROUT CREEK, MI,1/28/1938 ,FDIC,NaN,PAYOUT,22.0,46.0,NaN
NaN,THE BANK OF FREMONT,COMMERCIAL BANK,STATE,FREMONT, NC,1/29/1938 ,FDIC,NaN,ACQUISITION,341.0,NaN,NaN
NaN,POLLOCK STATE BANK,COMMERCIAL BANK,STATE,POLLOCK, SD,2/1/1938 ,FDIC,NaN,PAYOUT,56.0,103.0,NaN
NaN,THE FIRST STATE BANK OF LATHROP,COMMERCIAL BANK,STATE,LATHROP, MO,2/1/1938 ,FDIC,NaN,PAYOUT,125.0,163.0,NaN
NaN,FARMERS SECURITY BANK,COMMERCIAL BANK,STATE,MAYWOOD, NE,2/1/1938 ,FDIC,NaN,PAYOUT,186.0,213.0,NaN
NaN,BANK OF MARION,COMMERCIAL BANK,STATE,MARION, AR,2/7/1938 ,FDIC,NaN,PAYOUT,554.0,639.0,NaN
NaN,THE BRIGGSDALE STATE BANK,COMMERCIAL BANK,STATE,BRIGGSDALE, CO,2/10/1938 ,FDIC,NaN,PAYOUT,8.0,14.0,NaN
NaN,PEOPLES BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,SPARTA, TN,2/10/1938 ,FDIC,NaN,ACQUISITION,123.0,NaN,NaN
NaN,BANK OF STRAFFORD,COMMERCIAL BANK,STATE,STRAFFORD, MO,2/10/1938 ,FDIC,NaN,PAYOUT,122.0,136.0,NaN
NaN,THE FIRST NATIONAL BANK OF PURDON,COMMERCIAL BANK,FEDERAL,PURDON, TX,2/12/1938 ,FDIC,NaN,PAYOUT,36.0,63.0,NaN
NaN,FARMERS BANK OF BLACKBURN,COMMERCIAL BANK,STATE,BLACKBURN, MO,2/17/1938 ,FDIC,NaN,PAYOUT,51.0,79.0,NaN
NaN,STATE BANK OF SURPRISE,COMMERCIAL BANK,STATE,SURPRISE, NE,2/28/1938 ,FDIC,NaN,PAYOUT,56.0,65.0,NaN
NaN,CITIZENS STATE BANK,COMMERCIAL BANK,STATE,HARTFORD, AR,3/2/1938 ,FDIC,NaN,PAYOUT,94.0,118.0,NaN
NaN,BANK OF NORTHAMPTON, INCORPORATED,COMMERCIAL BANK,STATE,NASSAWADOX, VA,3/3/1938 ,FDIC,NaN,ACQUISITION,300.0,NaN,NaN
NaN,HOME SAVINGS BANK,COMMERCIAL BANK,STATE,DES MOINES, IA,3/5/1938 ,FDIC,NaN,ACQUISITION,1246.0,NaN,NaN
NaN,FIRST STATE BANK,COMMERCIAL BANK,STATE,KULM, ND,3/14/1938 ,FDIC,NaN,PAYOUT,142.0,212.0,NaN
NaN,THE BORDEN STATE BANK,COMMERCIAL BANK,STATE,BORDEN, IN,3/18/1938 ,FDIC,NaN,PAYOUT,135.0,165.0,NaN
NaN,MERCHANTS  AND MECHANICS  SAVINGS BANK OF NORFOLK,COMMERCIAL BANK,STATE,NORFOLK, VA,3/26/1938 ,FDIC,NaN,ACQUISITION,2941.0,NaN,NaN
NaN,MARGATE TRUST COMPANY,COMMERCIAL BANK,STATE,MARGATE CITY, NJ,4/2/1938 ,FDIC,NaN,PAYOUT,367.0,702.0,NaN
NaN,BANK OF ELLENBORO,COMMERCIAL BANK,STATE,ELLENBORO, NC,4/9/1938 ,FDIC,NaN,ACQUISITION,54.0,NaN,NaN
NaN,THE CITY NATIONAL BANK OF HARRISBURG,COMMERCIAL BANK,FEDERAL,HARRISBURG, IL,4/9/1938 ,FDIC,NaN,ACQUISITION,2795.0,NaN,NaN
NaN,THE FIRST STATE BANK,COMMERCIAL BANK,STATE,COLFAX, ND,4/9/1938 ,FDIC,NaN,PAYOUT,83.0,117.0,NaN
NaN,WEST JERSEY TRUST COMPANY,COMMERCIAL BANK,STATE,CAMDEN, NJ,4/11/1938 ,FDIC,NaN,ACQUISITION,8985.0,NaN,NaN
NaN,CAMDEN SAFE DEPOSIT & TRUST COMPANY,COMMERCIAL BANK,STATE,CAMDEN, NJ,4/11/1938 ,FDIC,NaN,ACQUISITION,22564.0,NaN,NaN
NaN,FIRST STATE BANK OF IPSWICH,COMMERCIAL BANK,STATE,IPSWICH, SD,4/12/1938 ,FDIC,NaN,PAYOUT,184.0,210.0,NaN
NaN,FIRST STATE BANK,COMMERCIAL BANK,STATE,TURTLE LAKE, ND,4/19/1938 ,FDIC,NaN,PAYOUT,144.0,186.0,NaN
NaN,BANK OF HUMBOLDT,COMMERCIAL BANK,STATE,HUMBOLDT, SD,4/19/1938 ,FDIC,NaN,PAYOUT,131.0,194.0,NaN
NaN,CAROLINE STATE BANK,COMMERCIAL BANK,STATE,CAROLINE, WI,4/20/1938 ,FDIC,NaN,PAYOUT,134.0,168.0,NaN
NaN,STATE BANK OF IRENE,COMMERCIAL BANK,STATE,IRENE, SD,4/25/1938 ,FDIC,NaN,PAYOUT,142.0,176.0,NaN
NaN,SUSSEX STATE BANK,COMMERCIAL BANK,STATE,SUSSEX, WI,5/14/1938 ,FDIC,NaN,ACQUISITION,290.0,NaN,NaN
NaN,CITIZENS STATE BANK OF ANDOVER,COMMERCIAL BANK,STATE,ANDOVER, SD,5/17/1938 ,FDIC,NaN,PAYOUT,48.0,78.0,NaN
NaN,FARMERS SAVINGS BANK,COMMERCIAL BANK,STATE,ANKENY, IA,5/19/1938 ,FDIC,NaN,PAYOUT,163.0,186.0,NaN
NaN,GERMAN STATE BANK OF BEULAH,COMMERCIAL BANK,STATE,BEULAH, ND,5/31/1938 ,FDIC,NaN,PAYOUT,100.0,122.0,NaN
NaN,LEOPOLIS STATE BANK,COMMERCIAL BANK,STATE,LEOPOLIS, WI,6/3/1938 ,FDIC,NaN,PAYOUT,143.0,205.0,NaN
NaN,RUSSELL STATE BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,RUSSELL, IA,6/17/1938 ,FDIC,NaN,PAYOUT,185.0,217.0,NaN
NaN,CENTRAL SAVINGS BANK,COMMERCIAL BANK,STATE,NEWPORT, KY,6/22/1938 ,FDIC,NaN,ACQUISITION,1361.0,NaN,NaN
NaN,THE BANK OF ASHE,COMMERCIAL BANK,STATE,JEFFERSON, NC,6/24/1938 ,FDIC,NaN,ACQUISITION,312.0,NaN,NaN
NaN,COMMERCIAL BANK OF MARYLAND,COMMERCIAL BANK,STATE,FREDERICK, MD,7/1/1938 ,FDIC,NaN,ACQUISITION,1410.0,NaN,NaN
NaN,BANK OF MILBURN,COMMERCIAL BANK,STATE,MILBURN, KY,7/11/1938 ,FDIC,NaN,PAYOUT,62.0,79.0,NaN
NaN,HUDSON STATE BANK,COMMERCIAL BANK,STATE,HUDSON, SD,7/12/1938 ,FDIC,NaN,PAYOUT,209.0,254.0,NaN
NaN,BETHEL SPRINGS BANK,COMMERCIAL BANK,STATE,BETHEL SPRINGS, TN,7/22/1938 ,FDIC,NaN,ACQUISITION,39.0,NaN,NaN
NaN,TAKOMA PARK BANK,COMMERCIAL BANK,STATE,TAKOMA PARK, MD,7/23/1938 ,FDIC,NaN,ACQUISITION,2048.0,NaN,NaN
NaN,HUTCHINSON COUNTY BANK,COMMERCIAL BANK,STATE,PARKSTON, SD,7/27/1938 ,FDIC,NaN,PAYOUT,215.0,273.0,NaN
NaN,WINOOSKI SAVINGS BANK,SAVINGS BANK,STATE,WINOOSKI, VT,7/28/1938 ,FDIC,NaN,PAYOUT,2479.0,4008.0,NaN
NaN,STATE BANK OF RICE LAKE,COMMERCIAL BANK,STATE,RICE LAKE, WI,8/15/1938 ,FDIC,NaN,PAYOUT,841.0,946.0,NaN
NaN,BANK OF HIGHMORE (DREW BROS.),COMMERCIAL BANK,STATE,HIGHMORE, SD,8/16/1938 ,FDIC,NaN,PAYOUT,79.0,109.0,NaN
NaN,THE FARMERS & MERCHANTS BANK,COMMERCIAL BANK,STATE,MADISON, MO,8/18/1938 ,FDIC,NaN,PAYOUT,95.0,119.0,NaN
NaN,HOME BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,WINCHESTER, TN,8/19/1938 ,FDIC,NaN,PAYOUT,278.0,401.0,NaN
NaN,HITCHCOCK STATE BANK,COMMERCIAL BANK,STATE,HITCHCOCK, SD,8/24/1938 ,FDIC,NaN,PAYOUT,54.0,79.0,NaN
NaN,JERAULD COUNTY BANK,COMMERCIAL BANK,STATE,WESSINGTON SPRINGS, SD,8/31/1938 ,FDIC,NaN,PAYOUT,211.0,260.0,NaN
NaN,FIRST BANK OF FLAXTON,COMMERCIAL BANK,STATE,FLAXTON, ND,8/31/1938 ,FDIC,NaN,PAYOUT,53.0,80.0,NaN
NaN,FIRST STATE BANK,COMMERCIAL BANK,STATE,HEWITT, MN,9/2/1938 ,FDIC,NaN,PAYOUT,112.0,135.0,NaN
NaN,THE SARANAC LAKE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,SARANAC LAKE, NY,9/24/1938 ,FDIC,NaN,ACQUISITION,491.0,NaN,NaN
NaN,STOCKMENS STATE BANK,COMMERCIAL BANK,STATE,MEDORA, ND,9/24/1938 ,FDIC,NaN,PAYOUT,74.0,87.0,NaN
NaN,FIRST STATE BANK,COMMERCIAL BANK,STATE,WILMOT, SD,9/29/1938 ,FDIC,NaN,PAYOUT,112.0,165.0,NaN
NaN,BANK OF LOCKPORT,COMMERCIAL BANK,STATE,LOCKPORT, KY,10/11/1938 ,FDIC,NaN,PAYOUT,51.0,68.0,NaN
NaN,BANK OF ETON,COMMERCIAL BANK,STATE,ETON, GA,10/12/1938 ,FDIC,NaN,ACQUISITION,29.0,NaN,NaN
NaN,KERMIT STATE BANK,COMMERCIAL BANK,STATE,KERMIT, WV,11/1/1938 ,FDIC,NaN,PAYOUT,67.0,120.0,NaN
NaN,FAYETTE BANK,COMMERCIAL BANK,STATE,FAYETTE, MO,11/3/1938 ,FDIC,NaN,PAYOUT,303.0,348.0,NaN
NaN,BANK OF BELLFLOWER,COMMERCIAL BANK,STATE,BELLFLOWER, MO,11/5/1938 ,FDIC,NaN,ACQUISITION,52.0,NaN,NaN
NaN,THE BANK OF CUBA,COMMERCIAL BANK,STATE,CUBA, AL,11/26/1938 ,FDIC,NaN,PAYOUT,100.0,89.0,NaN
NaN,FARMERS STATE BANK OF ANAMOOSE,COMMERCIAL BANK,STATE,ANAMOOSE, ND,11/26/1938 ,FDIC,NaN,PAYOUT,39.0,62.0,NaN
NaN,THE FIRST NATIONAL BANK OF ROOSEVELT,COMMERCIAL BANK,FEDERAL,ROOSEVELT, NY,11/26/1938 ,FDIC,NaN,ACQUISITION,1001.0,NaN,NaN
NaN,THE NATIONAL CITY BANK OF LYNN,COMMERCIAL BANK,FEDERAL,LYNN, MA,12/3/1938 ,FDIC,NaN,ACQUISITION,2233.0,NaN,NaN
NaN,COLEMAN STATE BANK,COMMERCIAL BANK,STATE,COLEMAN, WI,12/14/1938 ,FDIC,NaN,ACQUISITION,234.0,NaN,NaN
NaN,BOILING SPRINGS STATE BANK,COMMERCIAL BANK,STATE,BOILING SPRINGS, PA,12/17/1938 ,FDIC,NaN,ACQUISITION,147.0,NaN,NaN
NaN,FARMERS STATE BANK OF LONDON,COMMERCIAL BANK,STATE,LONDON, KY,12/21/1938 ,FDIC,NaN,PAYOUT,287.0,355.0,NaN
NaN,THE HARFORD BANK,COMMERCIAL BANK,STATE,BEL AIR, MD,12/31/1938 ,FDIC,NaN,PAYOUT,669.0,893.0,NaN
NaN,FARMERS STATE BANK,COMMERCIAL BANK,STATE,CANTON, WI,12/31/1938 ,FDIC,NaN,PAYOUT,30.0,51.0,NaN
NaN,OCONTO COUNTY STATE BANK,COMMERCIAL BANK,STATE,OCONTO FALLS, WI,1/4/1939 ,FDIC,NaN,PAYOUT,346.0,386.0,NaN
NaN,THE FIRST NATIONAL BANK OF PRESTON,COMMERCIAL BANK,FEDERAL,PRESTON, MN,1/5/1939 ,FDIC,NaN,PAYOUT,285.0,304.0,NaN
NaN,FIRST STATE BANK,COMMERCIAL BANK,STATE,ELGIN, TX,1/9/1939 ,FDIC,NaN,PAYOUT,287.0,347.0,NaN
NaN,BANK OF HANCOCK,COMMERCIAL BANK,STATE,HANCOCK, WI,1/12/1939 ,FDIC,NaN,ACQUISITION,248.0,NaN,NaN
NaN,FIRST STATE BANK,COMMERCIAL BANK,STATE,MARQUEZ, TX,1/16/1939 ,FDIC,NaN,PAYOUT,46.0,87.0,NaN
NaN,BANK OF SCRANTON,COMMERCIAL BANK,STATE,SCRANTON, ND,1/16/1939 ,FDIC,NaN,PAYOUT,94.0,153.0,NaN
NaN,THE HILLSBORO-QUEEN ANNE BANK, INC.,COMMERCIAL BANK,STATE,HILLSBORO, MD,1/21/1939 ,FDIC,NaN,ACQUISITION,249.0,NaN,NaN
NaN,THE FARMERS BANK OF NEWTOWN,COMMERCIAL BANK,STATE,NEWTOWN, MO,2/2/1939 ,FDIC,NaN,PAYOUT,89.0,114.0,NaN
NaN,FARMERS STATE BANK IN MERKEL,COMMERCIAL BANK,STATE,MERKEL, TX,2/3/1939 ,FDIC,NaN,PAYOUT,131.0,183.0,NaN
NaN,THE COUDERSPORT TRUST COMPANY,COMMERCIAL BANK,STATE,COUDERSPORT, PA,2/4/1939 ,FDIC,NaN,PAYOUT,706.0,952.0,NaN
NaN,THE AMERICAN NATIONAL BANK OF CAMDEN,COMMERCIAL BANK,FEDERAL,CAMDEN, NJ,2/4/1939 ,FDIC,NaN,ACQUISITION,820.0,NaN,NaN
NaN,THE NEW JERSEY TITLE GUARANTEE & TRUST CO.,COMMERCIAL BANK,STATE,JERSEY CITY, NJ,2/11/1939 ,FDIC,NaN,PAYOUT,21667.0,30745.0,NaN
NaN,NORTH CAMDEN TRUST COMPANY,COMMERCIAL BANK,STATE,CAMDEN, NJ,2/11/1939 ,FDIC,NaN,ACQUISITION,820.0,NaN,NaN
NaN,GROVETON NATIONAL BANK,COMMERCIAL BANK,FEDERAL,GROVETON, NH,2/14/1939 ,FDIC,NaN,ACQUISITION,297.0,NaN,NaN
NaN,THE ST. JOSEPH LOAN & TRUST COMPANY,COMMERCIAL BANK,STATE,SOUTH BEND, IN,2/16/1939 ,FDIC,NaN,ACQUISITION,3202.0,NaN,NaN
NaN,ST. JOSEPH COUNTY SAVINGS BANK,SAVINGS BANK,STATE,SOUTH BEND, IN,2/16/1939 ,FDIC,NaN,ACQUISITION,1584.0,NaN,NaN
NaN,THE FIRST NAT L BANK & TR CO. OF BLACKWOOD,COMMERCIAL BANK,FEDERAL,BLACKWOOD, NJ,2/18/1939 ,FDIC,NaN,ACQUISITION,708.0,NaN,NaN
NaN,PEOPLES STATE BANK,COMMERCIAL BANK,STATE,FRANKFORT, KY,2/21/1939 ,FDIC,NaN,ACQUISITION,1932.0,NaN,NaN
NaN,THE FIRST NATIONAL BANK IN BROOKSVILLE,COMMERCIAL BANK,FEDERAL,BROOKSVILLE, FL,2/25/1939 ,FDIC,NaN,ACQUISITION,274.0,NaN,NaN
NaN,THE BANK OF ROCKY HILL,COMMERCIAL BANK,STATE,ROCKY HILL, KY,3/4/1939 ,FDIC,NaN,PAYOUT,154.0,163.0,NaN
NaN,THE POINT PLEASANT NATIONAL BANK,COMMERCIAL BANK,FEDERAL,POINT PLEASANT, WV,3/7/1939 ,FDIC,NaN,PAYOUT,410.0,461.0,NaN
NaN,STATE BANK OF FORESTVILLE,COMMERCIAL BANK,STATE,FORESTVILLE, WI,3/8/1939 ,FDIC,NaN,PAYOUT,281.0,342.0,NaN
NaN,RAHWAY TRUST COMPANY,COMMERCIAL BANK,STATE,RAHWAY, NJ,3/11/1939 ,FDIC,NaN,ACQUISITION,1187.0,NaN,NaN
NaN,STATE BANK OF BREMEN,COMMERCIAL BANK,STATE,BREMEN, ND,3/18/1939 ,FDIC,NaN,PAYOUT,28.0,61.0,NaN
NaN,THE FULTON STATE BANK,COMMERCIAL BANK,STATE,FULTON, IN,3/18/1939 ,FDIC,NaN,PAYOUT,137.0,168.0,NaN
NaN,EDEN STATE BANK,COMMERCIAL BANK,STATE,EDEN, WI,3/18/1939 ,FDIC,NaN,ACQUISITION,179.0,NaN,NaN
NaN,MERCHANTS & FARMERS BANK,COMMERCIAL BANK,STATE,ATKINS, AR,3/23/1939 ,FDIC,NaN,PAYOUT,192.0,223.0,NaN
NaN,BANK OF AMORITA,COMMERCIAL BANK,STATE,AMORITA, OK,4/6/1939 ,FDIC,NaN,PAYOUT,117.0,132.0,NaN
NaN,THE FIRST NATIONAL BANK OF PLAINFIELD,COMMERCIAL BANK,FEDERAL,PLAINFIELD, NJ,4/8/1939 ,FDIC,NaN,ACQUISITION,4080.0,NaN,NaN
NaN,BANK OF BRUSSELS,COMMERCIAL BANK,STATE,BRUSSELS, IL,4/14/1939 ,FDIC,NaN,ACQUISITION,148.0,NaN,NaN
NaN,WEST BERGEN TRUST COMPANY,COMMERCIAL BANK,STATE,JERSEY CITY, NJ,4/20/1939 ,FDIC,NaN,ACQUISITION,2686.0,NaN,NaN
NaN,THE TRUST COMPANY OF NEW JERSEY,COMMERCIAL BANK,STATE,JERSEY CITY, NJ,4/20/1939 ,FDIC,NaN,ACQUISITION,48822.0,NaN,NaN
NaN,RIPLEY SAVINGS BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,RIPLEY, TN,4/28/1939 ,FDIC,NaN,PAYOUT,739.0,794.0,NaN
NaN,HUDSON TRUST COMPANY,COMMERCIAL BANK,STATE,UNION CITY, NJ,4/29/1939 ,FDIC,NaN,ACQUISITION,24484.0,NaN,NaN
NaN,BANK OF EDEN,COMMERCIAL BANK,STATE,EDEN, NY,4/29/1939 ,FDIC,NaN,ACQUISITION,734.0,NaN,NaN
NaN,COLUMBIA TRUST COMPANY OF NEW JERSEY,COMMERCIAL BANK,STATE,HOBOKEN, NJ,4/29/1939 ,FDIC,NaN,ACQUISITION,1484.0,NaN,NaN
NaN,TATUM STATE BANK,COMMERCIAL BANK,STATE,TATUM, TX,5/2/1939 ,FDIC,NaN,PAYOUT,17.0,47.0,NaN
NaN,THE PARKSLEY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,PARKSLEY, VA,5/18/1939 ,FDIC,NaN,PAYOUT,182.0,279.0,NaN
NaN,BANK OF HARTLAND,COMMERCIAL BANK,STATE,HARTLAND, WI,5/29/1939 ,FDIC,NaN,PAYOUT,370.0,455.0,NaN
NaN,GLOUCESTER CITY TRUST COMPANY,COMMERCIAL BANK,STATE,GLOUCESTER CITY, NJ,6/3/1939 ,FDIC,NaN,ACQUISITION,1160.0,NaN,NaN
NaN,COMMONWEALTH TRUST COMPANY,COMMERCIAL BANK,STATE,UNION CITY, NJ,6/3/1939 ,FDIC,NaN,ACQUISITION,5763.0,NaN,NaN
NaN,MERCHANTS TRUST COMPANY,COMMERCIAL BANK,STATE,UNION CITY, NJ,6/3/1939 ,FDIC,NaN,ACQUISITION,5593.0,NaN,NaN
NaN,GLENDIVE STATE BANK,COMMERCIAL BANK,STATE,GLENDIVE, MT,6/15/1939 ,FDIC,NaN,PAYOUT,119.0,162.0,NaN
NaN,THE HAMILTON TRUST COMPANY OF PATERSON,COMMERCIAL BANK,STATE,PATERSON, NJ,6/17/1939 ,FDIC,NaN,PAYOUT,2860.0,3734.0,NaN
NaN,THE PLANTSVILLE NATIONAL BANK,COMMERCIAL BANK,STATE,PLANTSVILLE, CT,6/24/1939 ,FDIC,NaN,PAYOUT,464.0,380.0,NaN
NaN,PLEASANTVILLE TRUST COMPANY,COMMERCIAL BANK,STATE,PLEASANTVILLE, NJ,6/30/1939 ,FDIC,NaN,PAYOUT,936.0,1116.0,NaN
NaN,KEARNY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,KEARNY, NJ,6/30/1939 ,FDIC,NaN,ACQUISITION,3092.0,NaN,NaN
NaN,WEST HUDSON COUNTY TRUST COMPANY,COMMERCIAL BANK,STATE,HARRISON, NJ,6/30/1939 ,FDIC,NaN,ACQUISITION,5773.0,NaN,NaN
NaN,FIRST STATE BANK OF O FALLON,COMMERCIAL BANK,STATE,O FALLON, IL,8/28/1939 ,FDIC,NaN,PAYOUT,102.0,50.0,NaN
NaN,RARDIN STATE BANK,COMMERCIAL BANK,STATE,RARDIN, IL,8/30/1939 ,FDIC,NaN,ACQUISITION,3092.0,NaN,NaN
NaN,PROVIDENCE CITIZENS BANK,COMMERCIAL BANK,STATE,PROVIDENCE, KY,9/1/1939 ,FDIC,NaN,PAYOUT,251.0,306.0,NaN
NaN,THE FARMERS STATE BANK,COMMERCIAL BANK,STATE,CATO, WI,9/15/1939 ,FDIC,NaN,PAYOUT,82.0,97.0,NaN
NaN,SECURITY STATE BANK,COMMERCIAL BANK,STATE,LAWRENCE, NE,10/3/1939 ,FDIC,NaN,PAYOUT,96.0,121.0,NaN
NaN,THE EGG HARBOR COMMERCIAL BANK,COMMERCIAL BANK,STATE,EGG HARBOR CITY, NJ,10/7/1939 ,FDIC,NaN,ACQUISITION,865.0,NaN,NaN
NaN,THE FARMERS STATE BANK,COMMERCIAL BANK,STATE,CUBA, KS,11/25/1939 ,FDIC,NaN,ACQUISITION,94.0,NaN,NaN
NaN,COMMERCIAL BANK OF LIBERTY,COMMERCIAL BANK,STATE,LIBERTY, KY,11/25/1939 ,FDIC,NaN,PAYOUT,502.0,548.0,NaN
NaN,THE YONKERS NATIONAL BANK & TRUST CO.,COMMERCIAL BANK,FEDERAL,YONKERS, NY,12/4/1939 ,FDIC,NaN,ACQUISITION,8849.0,NaN,NaN
NaN,THE STATE BANK OF LIEBENTHAL,COMMERCIAL BANK,STATE,LIEBENTHAL, KS,12/6/1939 ,FDIC,NaN,PAYOUT,58.0,60.0,NaN
NaN,MAYNARDVILLE STATE BANK,COMMERCIAL BANK,STATE,MAYNARDVILLE, TN,12/11/1939 ,FDIC,NaN,PAYOUT,186.0,218.0,NaN
NaN,THE TUCKERTON BANK,COMMERCIAL BANK,STATE,TUCKERTON, NJ,12/27/1939 ,FDIC,NaN,PAYOUT,624.0,735.0,NaN
NaN,GUARANTY BOND STATE BANK,COMMERCIAL BANK,STATE,NORTH ZULCH, TX,1/4/1940 ,FDIC,NaN,PAYOUT,119.0,169.0,NaN
NaN,THE CITIZENS STATE BANK OF NIANGUA,COMMERCIAL BANK,STATE,NIANGUA, MO,1/12/1940 ,FDIC,NaN,PAYOUT,119.0,143.0,NaN
NaN,INTEGRITY TRUST COMPANY,COMMERCIAL BANK,STATE,PHILADELPHIA, PA,1/13/1940 ,FDIC,NaN,ACQUISITION,29362.0,NaN,NaN
NaN,BANKERS TRUST COMPANY,COMMERCIAL BANK,STATE,ATLANTIC CITY, NJ,2/1/1940 ,FDIC,NaN,PAYOUT,986.0,2131.0,NaN
