Unnamed: 0,price,brand,model,year,title_status,mileage,color,vin,lot,state,country,condition
691.0,13000.0,chevrolet,malibu,2018.0,clean vehicle,41751.0,gray,  1g1zd5st8jf242655,1.67787968E8,oklahoma, usa,21 hours left
692.0,19700.0,chevrolet,door,2016.0,clean vehicle,27593.0,white,  1gcvkrec0gz118434,1.67788074E8,oklahoma, usa,21 hours left
693.0,9400.0,chevrolet,door,2017.0,clean vehicle,24009.0,blue,  1g1be5sm4h7275597,1.67788079E8,oklahoma, usa,21 hours left
694.0,23800.0,chevrolet,1500,2017.0,clean vehicle,85697.0,white,  3gcukrecxhg319917,1.67788094E8,oklahoma, usa,21 hours left
695.0,17700.0,chevrolet,equinox,2019.0,clean vehicle,25223.0,white,  3gnaxuev8ks588177,1.67788101E8,new york, usa,18 hours left
696.0,17000.0,chevrolet,door,2015.0,clean vehicle,27927.0,white,  2g1ff1e3xf9185411,1.67788243E8,oklahoma, usa,21 hours left
697.0,14000.0,chevrolet,door,2014.0,clean vehicle,135127.0,red,  3gcpcreh4eg204053,1.6778901E8,florida, usa,2 days left
698.0,32100.0,chevrolet,2500,2018.0,clean vehicle,55532.0,white,  1gc1kvey2jf198038,1.677895E8,pennsylvania, usa,21 hours left
699.0,33100.0,chevrolet,2500,2019.0,clean vehicle,72172.0,white,  1gc1ksey8kf114255,1.67789506E8,pennsylvania, usa,21 hours left
700.0,31600.0,chevrolet,2500,2018.0,clean vehicle,57751.0,white,  1gc1kvey3jf197819,1.67789507E8,pennsylvania, usa,21 hours left
701.0,5100.0,chevrolet,door,2013.0,clean vehicle,96314.0,gray,  3gnal3ek3ds630172,1.67789808E8,pennsylvania, usa,21 hours left
702.0,4100.0,chevrolet,door,2013.0,clean vehicle,89152.0,blue,  1g1pa5sgxd7225194,1.67789821E8,pennsylvania, usa,21 hours left
703.0,7200.0,chevrolet,door,2014.0,clean vehicle,114660.0,silver,  2gnflfek5e6237636,1.67790442E8,texas, usa,6 hours left
704.0,12800.0,chevrolet,1500,2014.0,clean vehicle,177322.0,white,  3gcuksej4eg356687,1.67790463E8,texas, usa,7 hours left
705.0,46800.0,chevrolet,1500,2019.0,clean vehicle,36423.0,gray,  1gcuyhel9kz240206,1.67790796E8,nebraska, usa,21 hours left
706.0,21800.0,chevrolet,van,2019.0,clean vehicle,23759.0,white,  1gcwgafg7k1222516,1.67790802E8,missouri, usa,21 hours left
