Year,Product,Origin,Destination / PADD,Mode of Transportation,Volume (m3),Volume (bbl),Value (CN$),Value (US$),Price (CN cents/L),Price (US cents/gallon)
1990,Propane,Saskatchewan,PADD V,Total,2991.0,18812.7918,158523.0,136205.11146,5.3,17.238072
1990,Propane,Saskatchewan,Total,Pipeline,1809921.9,11384046.76662,186311830.19,159932155.79591,10.293915,33.44935
1990,Propane,Saskatchewan,Total,Railway,11549.8,72645.93204,1271689.2,1094269.94656,11.010486,35.86425
1990,Propane,Saskatchewan,Total,Total,1835241.4,11543301.35772,189164406.17,162379744.63364,10.307331,33.49272
1990,Propane,Saskatchewan,Total,Truck,13769.7,86608.65906,1580886.78,1353318.89117,11.480909,37.203812
1990,Propane,Total,PADD I,Marine,6075.0,38210.535,944400.0,809040.1531,15.545679,50.412189
1990,Propane,Total,PADD I,Railway,230819.1,1451805.97518,27919466.15,23913441.01773,12.095821,39.217698
1990,Propane,Total,PADD I,Total,344644.5,2167744.9761,42823030.21,36664915.01905,12.425275,40.270876
1990,Propane,Total,PADD I,Truck,107750.4,677728.46592,13959164.06,11942433.84822,12.955092,41.955193
1990,Propane,Total,PADD II,Pipeline,2599819.1,16352342.17518,266562651.48,228600367.66066,10.253123,33.284769
1990,Propane,Total,PADD II,Railway,219345.2,1379637.43896,26988745.7,23165875.4357,12.304233,39.979036
1990,Propane,Total,PADD II,Total,2922029.8,18378983.03604,305302302.79,261845241.13651,10.448295,33.921246
1990,Propane,Total,PADD II,Truck,102865.5,647003.4219,11750905.61,10078998.04015,11.423563,37.090216
1990,Propane,Total,PADD IV,Railway,48669.4,306120.79212,5206481.35,4467099.50831,10.697648,34.744127
1990,Propane,Total,PADD IV,Total,134365.8,845134.00884,13470467.7,11561761.8254,10.02522,32.572194
1990,Propane,Total,PADD IV,Truck,85696.4,539013.21672,8263986.35,7094662.31709,9.643329,31.338694
1990,Propane,Total,PADD V,Railway,286841.7,1804176.92466,28275945.01,24257312.70489,9.857682,32.011951
1990,Propane,Total,PADD V,Total,305769.7,1923230.25906,30275167.76,25977254.45054,9.901297,32.159592
1990,Propane,Total,PADD V,Truck,18928.0,119053.3344,1999222.75,1719941.74565,10.56225,34.397018
1990,Propane,Total,Other,Marine,456.0,2868.1488,122240.0,103664.86182,26.807017,86.055474
1990,Propane,Total,Other,Railway,346.0,2176.2708,25950.0,22126.26519,7.5,24.207156
1990,Propane,Total,Other,Total,802.0,5044.4196,148190.0,125791.12701,18.477556,59.372784
1990,Propane,Total,Total,Marine,6531.0,41078.6838,1066640.0,912705.01492,16.331955,52.900833
1990,Propane,Total,Total,Pipeline,2599819.1,16352342.17518,266562651.48,228600367.66066,10.253123,33.284769
1990,Propane,Total,Total,Railway,786021.4,4943917.40172,88416588.21,75825854.93182,11.248623,36.516966
1990,Propane,Total,Total,Total,3707611.8,23320136.69964,392019158.46,336174963.55851,10.57336,34.322812
1990,Propane,Total,Total,Truck,315240.3,1982798.43894,35973278.77,30836035.95111,11.411383,37.027855
1991,Butane,Alberta,PADD I,Railway,3404.0,21410.4792,468660.0,415178.40884,13.76792,46.169691
1991,Butane,Alberta,PADD I,Total,3404.0,21410.4792,468660.0,415178.40884,13.76792,46.169691
1991,Butane,Alberta,PADD II,Railway,60854.6,382763.26308,7070537.8,6174601.55235,11.61874,38.408493
1991,Butane,Alberta,PADD II,Total,60854.6,382763.26308,7070537.8,6174601.55235,11.61874,38.408493
1991,Butane,Alberta,PADD IV,Pipeline,192565.0,1211195.337,23899908.4,20837252.82729,12.411345,40.961408
1991,Butane,Alberta,PADD IV,Railway,73613.5,463014.1923,8623108.02,7545443.70982,11.71403,38.800657
1991,Butane,Alberta,PADD IV,Total,266178.5,1674209.5293,32523016.42,28382696.53711,12.218498,40.363838
1991,Butane,Alberta,PADD V,Railway,207459.8,1304880.65004,22413741.52,19605935.00175,10.803896,35.773824
1991,Butane,Alberta,PADD V,Total,207925.8,1307811.69684,22461902.82,19648066.65765,10.802845,35.770349
1991,Butane,Alberta,PADD V,Truck,466.0,2931.0468,48161.3,42131.6559,10.335042,34.224282
1991,Butane,Alberta,Total,Pipeline,192565.0,1211195.337,23899908.4,20837252.82729,12.411345,40.961408
1991,Butane,Alberta,Total,Railway,345331.9,2172068.58462,38576047.34,33741158.67276,11.170716,36.985803
1991,Butane,Alberta,Total,Total,538362.9,3386194.96842,62524117.04,54620543.15595,11.613749,38.405431
1991,Butane,Alberta,Total,Truck,466.0,2931.0468,48161.3,42131.6559,10.335042,34.224282
1991,Butane,British Columbia,PADD II,Railway,19821.0,124670.1258,732738.0,639396.11108,3.696776,12.211136
1991,Butane,British Columbia,PADD II,Total,19821.0,124670.1258,732738.0,639396.11108,3.696776,12.211136
1991,Butane,British Columbia,PADD IV,Railway,4531.0,28499.0838,163634.0,143104.25371,3.611432,11.955569
1991,Butane,British Columbia,PADD IV,Total,4531.0,28499.0838,163634.0,143104.25371,3.611432,11.955569
1991,Butane,British Columbia,PADD V,Railway,211473.1,1330123.50438,23906971.98,20900251.87087,11.30497,37.411759
1991,Butane,British Columbia,PADD V,Total,216954.3,1364599.15614,24341584.28,21279110.9137,11.219682,37.127608
1991,Butane,British Columbia,PADD V,Truck,5481.2,34475.65176,434612.3,378859.04283,7.929145,26.164579
1991,Butane,British Columbia,Total,Railway,235825.1,1483292.71398,24803343.98,21682752.23566,10.517686,34.804557
1991,Butane,British Columbia,Total,Total,241306.3,1517768.36574,25237956.28,22061611.27849,10.458888,34.608303
1991,Butane,British Columbia,Total,Truck,5481.2,34475.65176,434612.3,378859.04283,7.929145,26.164579
1991,Butane,Manitoba,PADD II,Railway,143883.0,904995.2934,18375513.0,16050267.43614,12.771149,42.226447
1991,Butane,Manitoba,PADD II,Total,143883.0,904995.2934,18375513.0,16050267.43614,12.771149,42.226447
1991,Butane,Manitoba,Total,Railway,143883.0,904995.2934,18375513.0,16050267.43614,12.771149,42.226447
1991,Butane,Manitoba,Total,Total,143883.0,904995.2934,18375513.0,16050267.43614,12.771149,42.226447
1991,Butane,Nova Scotia,PADD I,Railway,4545.0,28587.141,288958.9,253235.72174,6.357731,21.091276
1991,Butane,Nova Scotia,PADD I,Total,4545.0,28587.141,288958.9,253235.72174,6.357731,21.091276
1991,Butane,Nova Scotia,Total,Railway,4545.0,28587.141,288958.9,253235.72174,6.357731,21.091276
1991,Butane,Nova Scotia,Total,Total,4545.0,28587.141,288958.9,253235.72174,6.357731,21.091276
1991,Butane,Ontario,PADD I,Railway,165871.9,1043301.07662,23504478.74,20530401.70409,14.170259,46.852891
1991,Butane,Ontario,PADD I,Total,166461.9,1047012.05862,23577048.74,20594737.38082,14.16363,46.833128
1991,Butane,Ontario,PADD I,Truck,590.0,3710.982,72570.0,64335.67673,12.3,41.27733
1991,Butane,Ontario,PADD II,Pipeline,383826.8,2414193.80664,52397032.33,45686479.89081,13.651217,45.057196
1991,Butane,Ontario,PADD II,Railway,785679.0,4941763.7742,114251500.06,99720436.18016,14.541753,48.045285
1991,Butane,Ontario,PADD II,Total,1183426.8,7443517.88664,169127510.99,147553321.59878,14.291336,47.197537
1991,Butane,Ontario,PADD II,Truck,13921.0,87560.3058,2478978.6,2146405.52781,17.807475,58.365084
1991,Butane,Ontario,PADD V,Railway,3123.0,19643.0454,356022.0,310734.06386,11.4,37.664189
1991,Butane,Ontario,PADD V,Total,3123.0,19643.0454,356022.0,310734.06386,11.4,37.664189
1991,Butane,Ontario,Total,Pipeline,383826.8,2414193.80664,52397032.33,45686479.89081,13.651217,45.057196
1991,Butane,Ontario,Total,Railway,954673.9,6004707.89622,138112000.8,120561571.94811,14.466929,47.804151
1991,Butane,Ontario,Total,Total,1353011.7,8510172.99066,193060581.73,168458793.04346,14.268951,47.130702
1991,Butane,Ontario,Total,Truck,14511.0,91271.2878,2551548.6,2210741.20454,17.583547,57.670315
1991,Butane,Québec,PADD I,Railway,221.0,1390.0458,14652.3,12750.85734,6.63,21.840312
1991,Butane,Québec,PADD I,Total,221.0,1390.0458,14652.3,12750.85734,6.63,21.840312
1991,Butane,Québec,Total,Railway,221.0,1390.0458,14652.3,12750.85734,6.63,21.840312
1991,Butane,Québec,Total,Total,221.0,1390.0458,14652.3,12750.85734,6.63,21.840312
