Airport Code,Year,Month,Domestic Flights,International Flights,Total Flights
EWR,2005,Sep,27893,6327,34220
JFK,1997,Feb,15859,8011,23870
LGA,2002,Jul,28336,1775,30111
JFK,2000,Jun,16991,10657,27648
LGA,1978,Jul,22122,0,22122
JFK,2004,Nov,16766,9264,26030
JFK,2012,Feb,18886,10810,29696
JFK,1992,Oct,18003,8515,26518
JFK,1995,Feb,14165,7800,21965
EWR,1991,Oct,28955,1908,30863
EWR,1998,Jan,30117,4020,34137
EWR,1995,Nov,29885,2484,32369
EWR,2012,Dec,23535,7521,31056
LGA,1985,Feb,22795,48,22843
EWR,1992,Jan,28512,1925,30437
JFK,1992,Jan,13807,7307,21114
JFK,1988,Sep,11411,8599,20010
JFK,2008,Feb,21447,11140,32587
EWR,1993,Jun,32442,2507,34949
LGA,2001,Dec,24478,1296,25774
LGA,2009,Sep,26923,2057,28980
LGA,1986,Jan,25836,101,25937
JFK,2009,Oct,20658,11416,32074
EWR,1986,Jul,31956,405,32361
LGA,2010,Jan,26458,1938,28396
JFK,1983,Sep,15359,6723,22082
EWR,1994,Oct,32595,2531,35126
JFK,1987,Oct,13833,7307,21140
EWR,1979,Mar,13188,255,13443
EWR,2009,Mar,26940,8098,35038
EWR,1988,Sep,28627,833,29460
LGA,1983,Aug,25204,0,25204
JFK,2004,Apr,15497,9009,24506
LGA,1981,Sep,19539,0,19539
LGA,2004,Nov,30652,2069,32721
JFK,1979,Feb,12512,5817,18329
LGA,2001,Sep,20817,1138,21955
EWR,1987,Mar,28581,293,28874
SWF,2010,Jan,632,0,632
LGA,2000,Jul,27223,1859,29082
JFK,2011,Oct,21090,12188,33278
JFK,1998,Mar,17597,9617,27214
EWR,2003,Mar,27983,5701,33684
LGA,1993,Apr,25110,1459,26569
EWR,1983,Dec,22089,170,22259
LGA,1992,Aug,25590,1509,27099
EWR,1985,Jul,29074,416,29490
LGA,1980,Feb,19575,0,19575
EWR,1980,Oct,13250,128,13378
EWR,2008,Jun,27716,8087,35803
EWR,2004,Apr,29316,5997,35313
EWR,1981,Mar,13360,94,13454
LGA,2012,Feb,27139,1929,29068
EWR,1995,Jul,31495,3121,34616
LGA,2001,Jun,28510,1768,30278
JFK,1981,Jul,15775,7305,23080
LGA,1992,Jan,24009,1425,25434
SWF,2011,Feb,624,6,630
SWF,2014,Mar,586,0,586
EWR,2012,Feb,23935,7531,31466
JFK,1980,Aug,15037,7623,22660
LGA,1991,Feb,20750,1278,22028
JFK,1989,Apr,11211,7922,19133
EWR,1998,Feb,28515,3771,32286
JFK,2007,Jan,24181,10922,35103
JFK,2007,Jul,25129,13110,38239
LGA,1992,Jul,25952,1525,27477
LGA,1986,Aug,26589,124,26713
JFK,2005,Feb,15941,8551,24492
JFK,1979,Apr,12533,6730,19263
JFK,1985,Aug,15257,8230,23487
LGA,1980,May,21528,0,21528
EWR,1978,Dec,13021,216,13237
JFK,1994,Jan,15764,8162,23926
EWR,2008,Mar,27985,7894,35879
