Geographic ID,Region,County,Route,Road,Milepoint,Latitude,Longitude,Location 1
4157,2,ONEIDA,921E,GENESEEesee St,0.0,43.07621662,-75.30440375,"(43.07621662, -75.30440375)"
15668,5,ERIE,US62,Niagara Falls Blvd,88.5598,43.03594883,-78.82331128,"(43.03594883, -78.82331128)"
4585,2,MADISON,US20,Albany St,230.1385,42.93000134,-75.85434215,"(42.93000134, -75.85434215)"
3196,1,SCHENECTADY,NY5,Mohawk Ave,353.9174,42.82731326,-73.96695292,"(42.82731326, -73.96695292)"
17423,5,NIAGARA,NY61,Hyde Park Blvd,1.3447,43.10074445,-79.02692746,"(43.10074445, -79.02692746)"
5028,2,MADISON,US20,Albany St,230.3472,42.92979914,-75.85039001,"(42.92979914, -75.85039001)"
3383,1,RENSSELAER,NY2,Ferry St,4.3962,42.72755064,-73.69040458,"(42.72755064, -73.69040458)"
18408,5, , , ,0.0,43.08368103,-79.05797118,"(43.08368103, -79.05797118)"
23171,6,CHEMUNG,NY14,S Broadway,4.4897,42.05544484,-76.81977997,"(42.05544484, -76.81977997)"
31207,9,BROOME,992E,N Shore Dr,0.0074,42.09351765,-75.91463118,"(42.09351765, -75.91463118)"
34208,10,SUFFOLK,NY25,Middle Country Rd,55.9651,40.87285657,-72.9886866,"(40.87285657, -72.9886866)"
13887,4,MONROE,NY19,Main St,98.6934,43.2145302,-77.93894825,"(43.2145302, -77.93894825)"
2381,1,SARATOGA,NY9N,Route 9N,13.7625,43.24377466,-73.84035262,"(43.24377466, -73.84035262)"
14041,4,GENESEE,NY19,Clay St,81.3555,42.97611936,-77.99242698,"(42.97611936, -77.99242698)"
31950,9,TIOGA,NY34,Cayuta Ave,0.3098,42.00415516,-76.52623367,"(42.00415516, -76.52623367)"
7534,3,ONONDAGA,NY175,W Seneca Tpke,12.5669,43.00412679,-76.18690906,"(43.00412679, -76.18690906)"
40575,10,NASSAU,NY27,Sunrise Hwy,18.3905,40.65479263,-73.6719211,"(40.65479263, -73.6719211)"
10820,4,MONROE,NY96,East Ave,122.7357,43.13821097,-77.54057145,"(43.13821097, -77.54057145)"
20427,5, , , ,0.0,42.07952904,-78.43008736,"(42.07952904, -78.43008736)"
18272,5, , , ,0.0,43.08613447,-79.06178585,"(43.08613447, -79.06178585)"
41906,11, , , ,0.0,40.89940818,-73.89700654,"(40.89940818, -73.89700654)"
37873,10,SUFFOLK,NY112,Route 112,5.6873,40.84672137,-72.99715835,"(40.84672137, -72.99715835)"
5119,2,MONTARIOGOMERY,NY30,State Highway 30,113.3886,42.97310684,-74.18801354,"(42.97310684, -74.18801354)"
25821,7,JEFFERSON,NY3,State Route 3,104.0992,44.06903813,-75.49382521,"(44.06903813, -75.49382521)"
8938,4,GENESEE,NY77,Allegany Rd,17.5668,42.90107172,-78.38911807,"(42.90107172, -78.38911807)"
11830,4,MONROE,NY19,Lake Rd  S,97.5546,43.19825197,-77.9435008,"(43.19825197, -77.9435008)"
31515,9,SCHOHARIE,NY30,Main St,88.2994,42.67329144,-74.30547339,"(42.67329144, -74.30547339)"
15838,5, , , ,0.0,42.86970503,-78.69710294,"(42.86970503, -78.69710294)"
31850,9,DELAWARE,NY10,Main St,43.9985,42.28034343,-74.91269058,"(42.28034343, -74.91269058)"
2218,1,SCHENECTADY,915D,Broadway,0.0324,42.80483942,-73.94931426,"(42.80483942, -73.94931426)"
32196,9,BROOME,NY79,State Route 79,42.8862,42.35144296,-76.00374388,"(42.35144296, -76.00374388)"
30697,8,DUTCHESS,US44,Main St,65.3621,41.95313058,-73.50730945,"(41.95313058, -73.50730945)"
3034,1,GREEN,NY23A,Main St,15.2009,42.20775611,-74.20781031,"(42.20775611, -74.20781031)"
19844,5,CHAUTAUQUA,NY394,Fairmount Ave,25.4391,42.09749314,-79.29067643,"(42.09749314, -79.29067643)"
6562,3,CAYUGA,NY104A,Main St,6.6018,43.31642933,-76.70236933,"(43.31642933, -76.70236933)"
2811,1,ESSEX,US9,US Route 9,236.1486,43.84154794,-73.75996394,"(43.84154794, -73.75996394)"
11339,4,MONROE,NY65,N Main St,5.0565,42.95831502,-77.58818104,"(42.95831502, -77.58818104)"
19492,5,CHAUTAUQUA,NY60,Main St,33.0164,42.48564046,-79.32860263,"(42.48564046, -79.32860263)"
40748,10,NASSAU,NY27,Sunrise Hwy,24.7592,40.66275886,-73.55228424,"(40.66275886, -73.55228424)"
8255,3,SENECA,US20,Fall St,175.3777,42.91034635,-76.79562992,"(42.91034635, -76.79562992)"
8187,3,OSWEGO,NY104,W Bridge St,151.9117,43.45463525,-76.51737346,"(43.45463525, -76.51737346)"
34016,10,SUFFOLK,NY454,Veterans Memorial Hwy,1.7932,40.83245527,-73.25876898,"(40.83245527, -73.25876898)"
15541,5,ERIE,NY75,Pierce Ave,16.0735,42.71463323,-78.84144656,"(42.71463323, -78.84144656)"
1409,1,SCHENECTADY,NY7,Troy Schenectady Rd,143.5856,42.7930122,-73.87570765,"(42.7930122, -73.87570765)"
6652,3,CAYUGA,NY31,ROCKLANDhester St,139.7997,43.03489334,-76.62536709,"(43.03489334, -76.62536709)"
41603,11, , , ,0.0,40.77617537,-73.78414102,"(40.77617537, -73.78414102)"
9317,4,MONROE,NY441,Penfield Rd,3.9358,43.13121231,-77.45732789,"(43.13121231, -77.45732789)"
16793,5, , , ,0.0,42.96823047,-78.75901837,"(42.96823047, -78.75901837)"
29836,8,ORANGE,NY94,Oakland Ave,4.2515,41.25640105,-74.36011256,"(41.25640105, -74.36011256)"
30736,8,COLUMBIA,NY217,Main St,2.5787,42.24890758,-73.65645915,"(42.24890758, -73.65645915)"
13158,4,MONROE,NY96,East Ave,122.1251,43.13172523,-77.5322216,"(43.13172523, -77.5322216)"
36846,10,NASSAU,NY24,Fulton Ave,6.8736,40.70570482,-73.63443661,"(40.70570482, -73.63443661)"
41514,11, , , ,0.0,40.68717378,-73.80737717,"(40.68717378, -73.80737717)"
9682,4,GENESEE,NY5,W Main St,108.0119,43.00469797,-78.20203189,"(43.00469797, -78.20203189)"
15601,5, , , ,0.0,42.95802205,-78.82372182,"(42.95802205, -78.82372182)"
32151,9,TIOGA,960H,Mill St,0.22,42.2358312,-76.34191708,"(42.2358312, -76.34191708)"
31487,9,OTSEGO,NY28,State Highway 28,103.2824,42.58731939,-74.94716304,"(42.58731939, -74.94716304)"
16895,5,ERIE,NY324,Sheridan Dr,10.4,42.97791201,-78.70532531,"(42.97791201, -78.70532531)"
24493,7,ST LAWRENCE,US11,Main St,215.847,44.59571589,-75.16938607,"(44.59571589, -75.16938607)"
9220,4,GENESEE,NY98,S Main St,78.0734,43.08112307,-78.18665358,"(43.08112307, -78.18665358)"
14252,5,ERIE,NY5,Main St,79.4723,42.96171975,-78.75095829,"(42.96171975, -78.75095829)"
5635,2,MADISON,NY13,S Peterboro St,102.5688,43.07667747,-75.75180235,"(43.07667747, -75.75180235)"
9252,4,MONROE,NY31F,Fairport Rd,0.724,43.11066754,-77.50650315,"(43.11066754, -77.50650315)"
24413,7,FRANKLIN,NY30,Park St,231.7567,44.2255835,-74.44585155,"(44.2255835, -74.44585155)"
