OBJECTID,ZCTA5CE10,GEOID10,CohortCount,GradCnt,GradRate,Shape__Area,Shape__Length
245.0,49119.0,2649119.0,NaN,NaN,NaN,3648811.89587402,10081.6286791386
246.0,49284.0,2649284.0,NaN,NaN,NaN,1.50313606027417E9,293899.069122529
247.0,49130.0,2649130.0,NaN,NaN,NaN,3.56652719599854E8,98216.7159265528
248.0,49717.0,2649717.0,NaN,NaN,NaN,2.556537528125E7,41637.5036556502
249.0,49716.0,2649716.0,NaN,NaN,NaN,6.77788121136719E8,188920.404432131
250.0,49752.0,2649752.0,NaN,NaN,NaN,7.25289687486328E8,295559.37091299
251.0,49724.0,2649724.0,NaN,NaN,NaN,1.56855609822461E9,412804.958233233
252.0,49710.0,2649710.0,NaN,NaN,NaN,1.46820795838867E9,281940.103256576
253.0,49728.0,2649728.0,NaN,NaN,NaN,5.75866657387891E9,418290.217129954
254.0,49894.0,2649894.0,NaN,NaN,NaN,2.44263094433594E7,29154.6694631131
255.0,49873.0,2649873.0,NaN,NaN,NaN,4.70619807701367E9,463449.116071667
256.0,48464.0,2648464.0,NaN,NaN,NaN,5.37344278135254E8,139605.031041489
257.0,48411.0,2648411.0,NaN,NaN,NaN,1.91150754213867E7,31659.9589545649
258.0,48553.0,2648553.0,NaN,NaN,NaN,5741449.76513672,11783.3394255889
259.0,49266.0,2649266.0,NaN,NaN,NaN,1.24936997845313E9,272784.209378224
260.0,48432.0,2648432.0,NaN,NaN,NaN,9.39361140084961E8,252624.530060278
261.0,48735.0,2648735.0,NaN,NaN,NaN,1.04512464469336E9,218651.000666502
262.0,48921.0,2648921.0,NaN,NaN,NaN,1.09721102368164E7,16652.2424172507
263.0,48748.0,2648748.0,NaN,NaN,NaN,1.32745626360254E9,392052.503062203
264.0,49903.0,2649903.0,NaN,NaN,NaN,5.28337563743359E9,660288.542650583
265.0,49241.0,2649241.0,NaN,NaN,NaN,9.62255408752686E8,188181.468221056
266.0,49074.0,2649074.0,NaN,NaN,NaN,1978576.15942383,6311.70312599655
267.0,49403.0,2649403.0,NaN,NaN,NaN,1.3240537012334E9,250861.599859115
