OBJECTID,GlobalID,GEO_ID,TotalPopulation,TotalInPoverty,PercentInPoverty,County_Tri
870,ad072cd1-ac24-4cd6-8478-382289b5eaa4,48152,30856,2536,8.21882291936738,Wayne
871,2186e2e2-5d49-45bb-8925-eeaccdb270ad,48242,0,0,,Wayne
872,f12276fe-14a3-4907-91cc-a919c532e3f9,48238,30506,13261,43.4701370222251,Wayne
873,3ee029dc-304d-43a6-96a0-4fb208ef2b22,48122,10636,3026,28.4505453177886,Wayne
943,98ac816f-7be5-4f4d-a42d-99d634136908,48021,32401,7599,23.452979846301,Macomb
944,91f918cc-2dd9-4e2c-b4fb-88c29e26d946,48035,34047,5313,15.6048991100537,Macomb
945,f794c8dc-4279-4b1a-97d4-698148db4837,48044,53924,2846,5.27779838290928,Macomb
946,65516f24-3a92-4d67-ad11-048b12f5e186,48094,18440,1233,6.68655097613883,Macomb
947,15f9b469-4c6b-4aa0-9fab-b57c7ef77b2f,48089,30456,8793,28.871158392435,Macomb
948,9ba4297f-d5c8-490e-a706-501cbcede7c0,48065,10687,830,7.76644521381117,Macomb
949,8171b691-a0a9-4d42-8fc8-92e6355c435a,48050,1823,194,10.6417992320351,Macomb
950,6b9d6f1e-c9f4-48c6-8bee-1d1597805f82,48015,8080,1635,20.2351485148515,Macomb
951,f32ac065-b427-4ee6-bb20-d870e9cd84c0,48082,16712,1820,10.8903781713739,Macomb
966,fb463a51-f4dd-49bf-82db-577a0bc1dc24,48323,17467,543,3.10871929925001,Oakland
967,840a7024-a4fb-4612-81e2-a954398dd58c,48098,19444,730,3.75437152849208,Oakland
968,7afd447f-9d06-4dcb-8403-566ee913c769,48381,12822,869,6.77741381999688,Oakland
981,02609ee5-6d5a-4bec-8047-f6d81e5b7c36,48234,34516,14812,42.9134314520802,Wayne
982,6410c3a0-de9b-4343-8530-ff83bbc443f2,48210,31633,14471,45.7465305219233,Wayne
983,e25a3fb7-f811-4c60-b37b-186a166f30fa,48202,15111,5980,39.5738203957382,Wayne
984,d50a0bdf-6e9c-435d-8865-80b8fee777e5,48235,45376,15636,34.4587447108604,Wayne
985,8bea6352-b00e-41cc-9322-750e3e476798,48124,30415,2519,8.28209764918626,Wayne
986,d105d97b-c63b-460d-8a0c-0b8380996148,48183,42270,4147,9.81074047788029,Wayne
987,35ec2fb4-9dc4-4868-9ac2-28b8952bcecf,48154,37225,1713,4.60174613834788,Wayne
988,3f9b5851-8c59-487b-80de-f80437a5d2e4,48240,17419,2172,12.4691428899478,Wayne
989,05cbaad9-17f3-445e-bd39-be93382ec7fa,48125,19815,3696,18.6525359576079,Wayne
