Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
NY,"Apr 12 - Apr 30, 2021",19,Statewide,Statewide,19618453,314,17.6,13.25,21.94,0.0,310,17.2,12.65,22.4,0.0,326,10.8,7.65,14.98,0.0,328,11.7,8.23,16.74,0.0,576,17.8,13.89,21.77,0.0,702,12.7,9.96,15.95,0.0,1278,15.2,12.63,17.78,0.0,2982005.0,2477811.0,3488161.0,True,False
OH,"Apr 19 -  May 2, 2021",19,Statewide,Statewide,11641879,386,32.2,27.49,36.97,0.0,363,45.5,40.04,50.9,0.0,345,38.3,32.59,43.96,0.0,376,23.6,19.16,27.9,0.0,735,46.1,42.22,50.13,0.0,735,29.2,25.47,32.7,0.0,1470,37.5,34.63,40.35,0.0,4365705.0,4031583.0,4697498.0,True,False
OK,"Apr 17 - Apr 23, 2021",19,Statewide,Statewide,3918137,325,21.6,16.82,26.55,0.0,325,17.8,12.79,22.06,0.0,325,15.8,11.48,20.25,0.0,324,13.3,9.36,17.43,0.0,546,21.7,17.84,25.73,0.0,753,13.7,10.5,16.52,0.0,1299,17.7,15.35,20.04,0.0,693510.0,601434.0,785195.0,True,False
OR,"Apr 14 - Apr 29, 2021",19,Statewide,Statewide,4081943,208,11.7,6.94,16.32,0.0,324,5.9,3.37,8.91,0.0,330,5.0,2.79,7.38,0.0,415,4.7,2.47,7.39,0.0,536,8.0,5.51,10.74,0.0,741,5.5,3.53,7.63,0.0,1277,6.7,5.12,8.55,0.0,273490.0,208995.0,349006.0,True,False
PA,"Apr 19 - Apr 30, 2021",19,Statewide,Statewide,12791181,371,23.2,18.95,27.39,0.0,250,24.3,18.88,30.49,0.0,308,19.2,14.27,24.8,0.0,300,14.0,10.23,18.8,0.0,488,20.6,16.12,25.07,0.0,741,21.7,18.05,25.79,0.0,1229,21.2,18.4,24.52,0.0,2711730.0,2353577.0,3136398.0,True,False
PR,"Apr 19 - Apr 29, 2021",19,Statewide,Statewide,3386941,325,9.0,5.53,13.0,0.0,325,55.4,48.59,62.47,0.0,325,69.9,62.9,76.55,0.0,325,78.6,72.72,84.74,0.0,531,52.2,47.24,57.78,0.0,769,54.1,49.06,59.53,0.0,1300,53.2,49.85,56.52,0.0,1801853.0,1688390.0,1914299.0,True,False
RI,"Apr 19 -  May 2, 2021",19,Statewide,Statewide,1056611,57,777.0,,,,413,11.9,8.6,15.38,0.0,270,16.9,12.28,21.55,0.0,240,6.7,3.39,10.91,0.0,384,14.5,9.96,19.45,0.0,596,10.3,7.13,13.19,0.0,980,12.3,9.56,15.02,0.0,129963.0,101012.0,158703.0,True,False
SC,"Apr 19 - Apr 29, 2021",19,Statewide,Statewide,4955925,327,34.3,29.29,39.99,0.0,325,23.3,18.74,28.47,0.0,327,26.0,20.51,31.99,0.0,326,14.4,10.41,19.1,0.0,501,23.6,19.63,27.56,0.0,804,25.9,22.94,29.49,0.0,1305,24.8,22.39,27.56,0.0,1229069.0,1109632.0,1365853.0,True,False
SD,"Apr 19 - Apr 30, 2021",19,Statewide,Statewide,864289,7,777.0,,,,105,37.2,23.56,54.75,0.0,62,777.0,,,,49,777.0,,,,80,26.3,16.18,38.8,0.0,143,35.6,20.63,57.39,0.0,223,30.9,21.54,41.11,0.0,267065.0,186168.0,355309.0,True,False
TN,"Apr 19 -  May 2, 2021",19,Statewide,Statewide,6651089,149,37.9,29.82,46.22,0.0,314,27.8,21.92,33.73,0.0,411,20.1,16.32,24.56,0.0,457,18.0,14.41,22.06,0.0,533,26.6,21.85,31.55,0.0,798,27.4,23.19,31.68,0.0,1331,27.0,23.75,30.45,0.0,1795794.0,1579634.0,2025257.0,True,False
