CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-12-03,2020,Q4,12,3,India,2020-12-01,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,7000,7056,No,-,-,2020-12-05,2020,Q4,12,5
"Coffee, tea, mate and spices",2020-12-03,2020,Q4,12,3,China,2020-11-27,9022000,Other green tea (not fermented),No,-,No,-,No,-,No,-,1704,1704,No,-,-,,2020,Q4,12,3
"Coffee, tea, mate and spices",2020-12-04,2020,Q4,12,4,India,2020-12-04,9042110,Sweet peppers,Yes,Satisfactory,No,-,No,-,No,-,1500,1533,No,-,-,2020-12-07,2020,Q4,12,7
"Coffee, tea, mate and spices",2020-12-04,2020,Q4,12,4,India,2020-12-04,9042110,Sweet peppers,Yes,Satisfactory,No,-,No,-,No,-,480,491,No,-,-,2020-12-07,2020,Q4,12,7
"Coffee, tea, mate and spices",2020-12-04,2020,Q4,12,4,China,2020-12-04,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1000,1050,No,-,-,2020-12-18,2020,Q4,12,18
"Coffee, tea, mate and spices",2020-12-11,2020,Q4,12,11,China,2020-12-04,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,9500,9975,No,-,-,2020-12-21,2020,Q4,12,21
"Coffee, tea, mate and spices",2020-12-04,2020,Q4,12,4,China,2020-12-04,904220019,Other,No,-,No,-,No,-,No,-,3700,3885,No,-,-,,2020,Q4,12,4
"Coffee, tea, mate and spices",2020-12-04,2020,Q4,12,4,India,2020-12-07,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,6968,7665,No,-,-,2020-12-09,2020,Q4,12,9
"Coffee, tea, mate and spices",2020-12-04,2020,Q4,12,4,India,2020-12-07,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1904,2047,No,-,-,2020-12-09,2020,Q4,12,9
"Coffee, tea, mate and spices",2020-12-04,2020,Q4,12,4,India,2020-12-07,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,4800,5072,No,-,-,2020-12-09,2020,Q4,12,9
"Coffee, tea, mate and spices",2020-12-04,2020,Q4,12,4,India,2020-12-07,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3300,3454,No,-,-,2020-12-09,2020,Q4,12,9
