DfENumber,SchoolName,Year,NetCapacity
8163401,St Aelred's RC Primary,2008,237
8163002,St Barnabas' CE Primary,2008,150
8163402,St George's RC Primary,2008,188
8163305,St Lawrence's CE Primary,2008,210
8163222,St Mary's CE Primary,2008,105
8163156,St Oswald's CE Primary,2008,294
8163003,St Paul's CE Primary,2008,175
8163403,St Wilfrid's RC Primary,2008,267
8162227,Stockton on the Forest Primary,2008,89
8162429,Tang Hall Primary,2008,210
8162017,Westfield Primary,2008,602
8163380,Wheldrake with Thorganby CE Primary,2008,210
8162240,Wigginton Primary,2008,280
8162027,Woodthorpe Primary,2008,450
8162015,Yearsley Grove Primary,2008,308
8164703,York High,2008,991
8162000,Acomb Primary,2009,243
8164702,All Saints' RC,2009,1207
8164500,Archbishop Holgate's CE,2009,810
8163229,Archbishop of York's CE Junior,2009,240
8162431,Badger Hill Primary,2009,150
8162386,Bishopthorpe Infant,2009,170
8164227,Burnholme Community College,2009,600
8162024,Burton Green Primary,2009,210
8164003,Canon Lee,2009,905
8162003,Carr Infant,2009,175
8162002,Carr Junior,2009,240
8162018,Clifton Green Primary,2009,360
8162253,Clifton Without Junior,2009,317
8162013,Copmanthorpe Primary,2009,360
8162006,Derwent Infant,2009,120
8162005,Derwent Junior,2009,150
8162007,Dringhouses Primary,2009,315
8163151,Dunnington CE Primary,2009,210
8163152,Elvington CE Primary,2009,140
8163400,English Martyrs' RC Primary,2009,210
8162008,Fishergate Primary,2009,210
8164153,Fulford Secondary,2009,1349
8162009,Haxby Road Primary,2009,210
8162241,Headlands Primary,2009,232
8162001,Hempland Primary,2009,420
8163302,Heworth CE Primary,2009,128
8162028,Hob Moor Community Primary,2009,270
8162180,Huntington Primary,2009,420
8164063,Huntington Secondary,2009,1487
8164508,Joseph Rowntree,2009,1340
8162011,Knavesmire Primary,2009,210
8162428,Lakeside Primary,2009,420
8163158,Lord Deramore's Primary,2009,210
8164602,Manor CE Secondary,2009,900
8164229,Millthorpe Secondary,2009,1056
8163159,Naburn CE Primary,2009,83
8163901,New Earswick Primary,2009,210
8162176,Osbaldwick Primary,2009,210
8163404,Our Lady's RC Primary,2009,210
8162012,Park Grove Primary,2009,266
8162029,Poppleton Ousebank Primary,2009,420
8162014,Poppleton Road Primary,2009,390
8162058,Ralph Butterfield Primary,2009,315
8162201,Rawcliffe Infant & Nursery,2009,240
8163212,Robert Wilkinson Primary,2009,564
8162349,Rufforth Primary,2009,60
8162016,Scarcroft Primary,2009,315
8162169,Skelton Primary,2009,140
8163401,St Aelred's RC Primary,2009,237
8163002,St Barnabas' CE Primary,2009,150
8163402,St George's RC Primary,2009,188
8163305,St Lawrence's CE Primary,2009,210
8163222,St Mary's CE Primary,2009,105
8163156,St Oswald's CE Primary,2009,294
8163003,St Paul's CE Primary,2009,175
8163403,St Wilfrid's RC Primary,2009,267
8162227,Stockton on the Forest Primary,2009,89
8162429,Tang Hall Primary,2009,210
8162017,Westfield Primary,2009,602
8163380,Wheldrake with Thorganby CE Primary,2009,210
8162240,Wigginton Primary,2009,280
8162027,Woodthorpe Primary,2009,450
8162015,Yearsley Grove Primary,2009,308
8164703,York High,2009,991
8162000,Acomb Primary,2010,243
8164702,All Saints' RC,2010,1232
8164500,Archbishop Holgate's CE,2010,810
8163229,Archbishop of York's CE Junior,2010,240
8162431,Badger Hill Primary,2010,150
8162386,Bishopthorpe Infant,2010,170
8164227,Burnholme Community College,2010,600
8162024,Burton Green Primary,2010,210
8164003,Canon Lee,2010,950
8162003,Carr Infant,2010,175
8162002,Carr Junior,2010,240
8162018,Clifton Green Primary,2010,350
8162430,Clifton With Rawcliffe Primary,2010,630
8162253,Clifton Without Junior,2010,317
8162013,Copmanthorpe Primary,2010,360
8162006,Derwent Infant,2010,120
8162005,Derwent Junior,2010,150
8162007,Dringhouses Primary,2010,315
8163151,Dunnington CE Primary,2010,210
8163152,Elvington CE Primary,2010,140
8163400,English Martyrs' RC Primary,2010,210
8162008,Fishergate Primary,2010,210
8164153,Fulford Secondary,2010,1349
8162009,Haxby Road Primary,2010,210
8162241,Headlands Primary,2010,232
8162001,Hempland Primary,2010,420
8163302,Heworth CE Primary,2010,128
8162028,Hob Moor Community Primary,2010,270
8162180,Huntington Primary,2010,420
8164063,Huntington Secondary,2010,1487
8164508,Joseph Rowntree,2010,1340
8162011,Knavesmire Primary,2010,210
8162428,Lakeside Primary,2010,420
8163158,Lord Deramore's Primary,2010,210
8164602,Manor CE Secondary,2010,900
8164229,Millthorpe Secondary,2010,1056
8163159,Naburn CE Primary,2010,83
8163901,New Earswick Primary,2010,210
8162176,Osbaldwick Primary,2010,210
8163404,Our Lady's RC Primary,2010,210
8162012,Park Grove Primary,2010,266
8162029,Poppleton Ousebank Primary,2010,420
8162014,Poppleton Road Primary,2010,390
8162058,Ralph Butterfield Primary,2010,326
8162201,Rawcliffe Infant & Nursery,2010,240
8163212,Robert Wilkinson Primary,2010,564
8162349,Rufforth Primary,2010,60
8162016,Scarcroft Primary,2010,315
8162169,Skelton Primary,2010,140
8163401,St Aelred's RC Primary,2010,237
8163002,St Barnabas' CE Primary,2010,140
8163402,St George's RC Primary,2010,192
8163305,St Lawrence's CE Primary,2010,210
8163222,St Mary's CE Primary,2010,105
8163156,St Oswald's CE Primary,2010,294
8163003,St Paul's CE Primary,2010,175
8163403,St Wilfrid's RC Primary,2010,267
8162227,Stockton on the Forest Primary,2010,84
8162429,Tang Hall Primary,2010,210
8162017,Westfield Primary,2010,602
8163380,Wheldrake with Thorganby CE Primary,2010,210
8162240,Wigginton Primary,2010,280
8162027,Woodthorpe Primary,2010,450
8162015,Yearsley Grove Primary,2010,318
8164703,York High,2010,990
8162000,Acomb Primary,2011,243
8164702,All Saints' RC,2011,1232
8164500,Archbishop Holgate's CE,2011,810
8163229,Archbishop of York's CE Junior,2011,240
8162431,Badger Hill Primary,2011,150
8162386,Bishopthorpe Infant,2011,170
8164227,Burnholme Community College,2011,600
8162024,Burton Green Primary,2011,210
8164003,Canon Lee,2011,950
8162003,Carr Infant,2011,175
8162002,Carr Junior,2011,240
8162018,Clifton Green Primary,2011,350
8162430,Clifton With Rawcliffe Primary,2011,630
8162013,Copmanthorpe Primary,2011,360
8162006,Derwent Infant,2011,120
8162005,Derwent Junior,2011,150
8162007,Dringhouses Primary,2011,315
8163151,Dunnington CE Primary,2011,210
8163152,Elvington CE Primary,2011,140
8162008,Fishergate Primary,2011,210
8164153,Fulford Secondary,2011,1349
8162009,Haxby Road Primary,2011,210
8162241,Headlands Primary,2011,232
8162001,Hempland Primary,2011,420
8163302,Heworth CE Primary,2011,128
8162028,Hob Moor Community Primary,2011,270
8162180,Huntington Primary,2011,420
8164063,Huntington Secondary,2011,1487
8164508,Joseph Rowntree,2011,1340
8162011,Knavesmire Primary,2011,210
8162428,Lakeside Primary,2011,420
8163158,Lord Deramore's Primary,2011,210
8164602,Manor CE Secondary,2011,900
8164229,Millthorpe Secondary,2011,1056
8163159,Naburn CE Primary,2011,83
8163901,New Earswick Primary,2011,210
