met type,date,mean/sum,min,max,%complete,comments
Air Temperature,22/03/2010,6.02,3.4,7.8,100,
Air Temperature,23/03/2010,4.54,0.2,8.0,100,
Air Temperature,24/03/2010,6.9,4.6,9.4,100,
Air Temperature,25/03/2010,6.34,3.6,8.3,100,
Air Temperature,26/03/2010,5.73,3.4,6.8,100,
Air Temperature,27/03/2010,4.92,1.3,7.3,100,
Air Temperature,28/03/2010,4.24,2.6,6.4,100,
Air Temperature,29/03/2010,2.48,1.2,4.5,100,
Air Temperature,30/03/2010,3.45,1.5,5.4,100,
Air Temperature,31/03/2010,0.7,-0.3,1.6,100,
Air Temperature,01/04/2010,1.95,-0.4,5.6,100,
Air Temperature,02/04/2010,2.05,-3.0,6.1,100,
Air Temperature,03/04/2010,2.52,-0.6,5.1,100,
Air Temperature,04/04/2010,3.3,-0.3,6.8,100,
Air Temperature,05/04/2010,5.78,0.2,9.1,100,
Air Temperature,06/04/2010,7.23,5.5,9.1,100,
Air Temperature,07/04/2010,5.76,1.2,10.3,100,
Air Temperature,08/04/2010,6.19,1.2,9.6,100,
Air Temperature,09/04/2010,7.89,3.1,12.1,100,
Air Temperature,10/04/2010,7.87,-0.7,16.0,100,
Air Temperature,11/04/2010,7.45,2.7,13.0,100,
Air Temperature,12/04/2010,6.73,-1.8,15.1,96,
Air Temperature,13/04/2010,4.34,-1.7,7.9,100,
Air Temperature,14/04/2010,5.29,1.2,9.9,100,
Air Temperature,15/04/2010,4.2,-0.6,8.8,100,
Air Temperature,16/04/2010,6.16,-1.2,12.7,100,
Air Temperature,17/04/2010,6.88,4.0,10.8,100,
Air Temperature,18/04/2010,3.67,-1.3,10.3,100,
Air Temperature,19/04/2010,3.63,0.1,9.1,100,
Air Temperature,20/04/2010,4.5,0.7,8.4,100,
Air Temperature,21/04/2010,2.67,-3.5,8.8,100,
Air Temperature,22/04/2010,3.58,-3.5,8.9,100,
Air Temperature,23/04/2010,6.15,0.6,11.3,100,
Air Temperature,24/04/2010,10.17,4.0,17.4,100,
Air Temperature,25/04/2010,8.28,3.3,11.9,100,
Air Temperature,26/04/2010,9.25,7.5,12.7,100,
Air Temperature,27/04/2010,10.1,6.8,13.5,100,
Air Temperature,28/04/2010,11.72,6.8,18.3,100,
Air Temperature,29/04/2010,9.49,6.6,11.1,100,
Air Temperature,30/04/2010,7.89,6.4,11.4,100,
Air Temperature,01/05/2010,5.9,3.1,7.4,100,
Air Temperature,02/05/2010,3.6,0.3,6.4,100,
