met type,date,mean/sum,min,max,%complete,comments
Air Temperature,29/06/2010,16.0,12.8,21.8,100,
Air Temperature,30/06/2010,15.7,11.2,20.8,100,
Air Temperature,01/07/2010,14.72,13.3,16.8,100,
Air Temperature,02/07/2010,14.23,10.5,17.6,100,
Air Temperature,03/07/2010,13.4,11.0,16.4,100,
Air Temperature,04/07/2010,13.3,10.9,16.8,100,
Air Temperature,05/07/2010,12.39,9.4,15.3,100,
Air Temperature,06/07/2010,13.02,9.8,16.3,100,
Air Temperature,07/07/2010,14.03,11.6,15.1,100,
Air Temperature,08/07/2010,13.61,10.7,16.5,100,
Air Temperature,09/07/2010,14.8,12.9,16.4,100,
Air Temperature,10/07/2010,15.82,14.8,17.8,100,
Air Temperature,11/07/2010,13.2,10.1,15.8,100,
Air Temperature,12/07/2010,12.63,10.7,15.0,100,
Air Temperature,13/07/2010,12.16,10.5,14.5,100,
Air Temperature,14/07/2010,14.06,12.5,16.7,100,
Air Temperature,15/07/2010,12.55,11.1,13.7,100,
Air Temperature,16/07/2010,11.6,9.5,13.4,100,
Air Temperature,17/07/2010,11.44,8.9,14.5,100,
Air Temperature,18/07/2010,13.28,11.5,14.6,100,
Air Temperature,19/07/2010,14.74,12.9,17.4,100,
Air Temperature,20/07/2010,15.05,12.9,16.1,100,
Air Temperature,21/07/2010,12.6,10.7,15.3,100,
Air Temperature,22/07/2010,13.22,9.1,17.5,100,
Air Temperature,23/07/2010,13.02,10.5,16.4,100,
Air Temperature,24/07/2010,12.24,10.2,13.8,100,
Air Temperature,25/07/2010,14.87,13.7,17.1,100,
Air Temperature,26/07/2010,16.05,15.3,17.3,100,
Air Temperature,27/07/2010,15.64,12.6,17.2,100,
Air Temperature,28/07/2010,12.52,11.3,14.3,100,
Air Temperature,29/07/2010,12.2,10.7,12.9,100,
Air Temperature,30/07/2010,13.39,10.8,15.5,100,
Air Temperature,31/07/2010,13.21,11.7,15.4,100,
Air Temperature,01/08/2010,12.77,10.6,14.7,100,
Air Temperature,02/08/2010,12.1,9.8,14.0,100,
Air Temperature,03/08/2010,12.95,10.3,16.6,100,
Air Temperature,04/08/2010,12.07,11.0,13.4,100,
Air Temperature,05/08/2010,12.35,10.5,15.3,100,
Air Temperature,06/08/2010,13.2,11.6,15.8,100,
Air Temperature,07/08/2010,13.02,11.3,14.9,100,
Air Temperature,08/08/2010,12.32,9.9,15.6,100,
Air Temperature,09/08/2010,12.86,10.0,15.8,100,
Air Temperature,10/08/2010,12.79,10.7,15.6,100,
Air Temperature,11/08/2010,12.1,10.2,14.6,100,
Air Temperature,12/08/2010,11.43,10.4,12.4,100,
Air Temperature,13/08/2010,11.68,9.9,14.0,100,
Air Temperature,14/08/2010,12.11,9.9,14.7,100,
Air Temperature,15/08/2010,14.2,10.7,19.1,100,
Air Temperature,16/08/2010,13.77,10.6,17.4,100,
Air Temperature,17/08/2010,12.38,9.4,15.0,100,
Air Temperature,18/08/2010,11.83,9.4,14.7,100,
Air Temperature,19/08/2010,12.43,10.0,15.4,100,
Air Temperature,20/08/2010,16.3,15.6,16.9,100,
Air Temperature,21/08/2010,14.3,12.2,16.1,100,
Air Temperature,22/08/2010,13.36,11.0,16.6,100,
Air Temperature,23/08/2010,11.53,9.6,13.1,100,
Air Temperature,24/08/2010,11.05,8.8,13.4,100,
Air Temperature,25/08/2010,10.6,9.8,11.7,100,
Air Temperature,26/08/2010,10.58,9.0,11.9,100,
Air Temperature,27/08/2010,10.72,8.5,14.5,100,
Air Temperature,28/08/2010,10.67,9.0,13.0,100,
Air Temperature,29/08/2010,9.76,6.5,11.0,100,
Air Temperature,30/08/2010,10.41,6.3,15.2,100,
Air Temperature,31/08/2010,12.54,8.0,16.4,100,
Air Temperature,01/09/2010,13.05,9.5,17.0,100,
Air Temperature,02/09/2010,14.07,10.5,18.2,100,
Air Temperature,03/09/2010,13.0,9.5,17.0,100,
Air Temperature,04/09/2010,13.74,10.7,16.9,100,
Air Temperature,05/09/2010,12.64,11.4,13.8,100,
Air Temperature,06/09/2010,12.77,11.5,14.4,100,
Air Temperature,07/09/2010,11.33,10.0,12.6,100,
Air Temperature,08/09/2010,11.83,9.9,14.4,100,
Air Temperature,09/09/2010,12.96,11.5,15.4,100,
Air Temperature,10/09/2010,14.47,11.9,15.5,100,
Air Temperature,11/09/2010,13.49,10.4,15.1,100,
Air Temperature,12/09/2010,10.88,9.7,12.6,100,
Air Temperature,13/09/2010,12.28,10.3,13.8,100,
Air Temperature,14/09/2010,12.96,8.6,14.6,100,
Air Temperature,15/09/2010,9.98,7.7,12.2,100,
Air Temperature,16/09/2010,9.7,8.3,11.3,100,
Air Temperature,17/09/2010,8.53,6.4,10.7,100,
Air Temperature,18/09/2010,8.86,6.0,12.2,100,
Air Temperature,19/09/2010,11.4,9.4,12.5,100,
Air Temperature,20/09/2010,12.71,11.4,15.0,100,
Air Temperature,21/09/2010,13.26,10.9,16.4,100,
Air Temperature,22/09/2010,12.87,10.6,14.8,100,
Air Temperature,23/09/2010,11.78,10.2,13.3,100,
Air Temperature,24/09/2010,8.3,4.7,10.3,100,
Air Temperature,25/09/2010,6.31,3.8,9.6,100,
Air Temperature,26/09/2010,6.61,3.7,10.9,100,
Air Temperature,27/09/2010,8.78,5.5,10.8,100,
Air Temperature,28/09/2010,11.97,10.5,14.7,100,
Air Temperature,29/09/2010,11.03,8.4,12.7,100,
Air Temperature,30/09/2010,9.68,8.4,10.9,100,
Air Temperature,01/10/2010,11.01,7.8,13.1,100,
Air Temperature,02/10/2010,9.49,7.5,11.2,100,
Air Temperature,03/10/2010,9.58,7.7,10.7,100,
