period,status,sex,age,population
2013-03-31,F,female,60-64,122900.0
2013-03-31,F,female,65-69,103540.0
2013-03-31,F,female,65+,334900.0
2013-03-31,F,female,70-74,79760.0
2013-03-31,F,female,75-79,57980.0
2013-03-31,F,female,80-84,46000.0
2013-03-31,F,female,85-89,30240.0
2013-03-31,F,female,90+,17350.0
2013-03-31,F,female,median,38.47
2013-03-31,F,female,total,2266970.0
2013-06-30,F,female,0-14,442900.0
2013-06-30,F,female,0-4,151770.0
2013-06-30,F,female,10-14,144580.0
2013-06-30,F,female,15-19,152330.0
2013-06-30,F,female,15-39,736700.0
2013-06-30,F,female,20-24,155740.0
2013-06-30,F,female,25-29,142160.0
2013-06-30,F,female,30-34,141580.0
2013-06-30,F,female,35-39,144860.0
2013-06-30,F,female,40-44,166410.0
2013-06-30,F,female,40-64,753000.0
2013-06-30,F,female,45-49,161890.0
2013-06-30,F,female,5-9,146490.0
2013-06-30,F,female,50-54,161990.0
2013-06-30,F,female,55-59,139590.0
2013-06-30,F,female,60-64,123110.0
2013-06-30,F,female,65-69,105190.0
2013-06-30,F,female,65+,337400.0
2013-06-30,F,female,70-74,80000.0
2013-06-30,F,female,75-79,58330.0
2013-06-30,F,female,80-84,46030.0
2013-06-30,F,female,85-89,30440.0
2013-06-30,F,female,90+,17440.0
2013-06-30,F,female,median,38.55
2013-06-30,F,female,total,2269940.0
2013-09-30,F,female,0-14,442700.0
2013-09-30,F,female,0-4,151240.0
2013-09-30,F,female,10-14,144260.0
2013-09-30,F,female,15-19,152600.0
2013-09-30,F,female,15-39,739400.0
2013-09-30,F,female,20-24,156800.0
2013-09-30,F,female,25-29,143600.0
2013-09-30,F,female,30-34,142230.0
2013-09-30,F,female,35-39,144140.0
2013-09-30,F,female,40-44,166160.0
2013-09-30,F,female,40-64,754800.0
2013-09-30,F,female,45-49,161570.0
2013-09-30,F,female,5-9,147210.0
2013-09-30,F,female,50-54,162800.0
2013-09-30,F,female,55-59,140550.0
2013-09-30,F,female,60-64,123760.0
2013-09-30,F,female,65-69,106500.0
2013-09-30,F,female,65+,340300.0
2013-09-30,F,female,70-74,80700.0
2013-09-30,F,female,75-79,58830.0
2013-09-30,F,female,80-84,46200.0
2013-09-30,F,female,85-89,30490.0
2013-09-30,F,female,90+,17540.0
2013-09-30,F,female,median,38.57
2013-09-30,F,female,total,2277180.0
2013-12-31,F,female,0-14,443300.0
2013-12-31,F,female,0-4,151020.0
2013-12-31,F,female,10-14,144350.0
2013-12-31,F,female,15-19,151900.0
2013-12-31,F,female,15-39,741900.0
2013-12-31,F,female,20-24,158050.0
2013-12-31,F,female,25-29,145300.0
2013-12-31,F,female,30-34,142980.0
2013-12-31,F,female,35-39,143660.0
2013-12-31,F,female,40-44,165720.0
2013-12-31,F,female,40-64,756600.0
2013-12-31,F,female,45-49,161800.0
2013-12-31,F,female,5-9,147900.0
2013-12-31,F,female,50-54,163200.0
2013-12-31,F,female,55-59,141540.0
2013-12-31,F,female,60-64,124370.0
2013-12-31,F,female,65-69,108240.0
2013-12-31,F,female,65+,343800.0
2013-12-31,F,female,70-74,81390.0
2013-12-31,F,female,75-79,59570.0
2013-12-31,F,female,80-84,46170.0
2013-12-31,F,female,85-89,30680.0
2013-12-31,F,female,90+,17770.0
2013-12-31,F,female,median,38.59
2013-12-31,F,female,total,2285600.0
2014-03-31,F,female,0-14,443900.0
2014-03-31,F,female,0-4,150850.0
2014-03-31,F,female,10-14,144620.0
2014-03-31,F,female,15-19,152120.0
2014-03-31,F,female,15-39,745300.0
2014-03-31,F,female,20-24,159180.0
2014-03-31,F,female,25-29,146920.0
2014-03-31,F,female,30-34,143750.0
2014-03-31,F,female,35-39,143330.0
2014-03-31,F,female,40-44,165330.0
2014-03-31,F,female,40-64,758400.0
2014-03-31,F,female,45-49,161690.0
2014-03-31,F,female,5-9,148430.0
2014-03-31,F,female,50-54,163730.0
2014-03-31,F,female,55-59,142580.0
2014-03-31,F,female,60-64,125040.0
2014-03-31,F,female,65-69,109500.0
2014-03-31,F,female,65+,346800.0
2014-03-31,F,female,70-74,82060.0
2014-03-31,F,female,75-79,60190.0
2014-03-31,F,female,80-84,46210.0
