countrycode,countryname,year,SH_UHC_NOP1_CG,SH_UHC_NOP1_TO,SH_UHC_NOP1_ZG,SH_UHC_NOP1_ZS,SH_UHC_NOP2_CG,SH_UHC_NOP2_TO,SH_UHC_NOP2_ZG,SH_UHC_NOP2_ZS,SH_UHC_OOPC_10_TO,SH_UHC_OOPC_10_ZS,SH_UHC_OOPC_25_TO,SH_UHC_OOPC_25_ZS,SH_UHC_SRVS_CV_XD
BGD,Bangladesh,2010.0,0.0647198036313057,6856000.0,3.4063100814819336,4.505828857421875,0.1223338022828102,6215000.0,3.9462499618530273,4.084719181060791,2.06E7,13.570369720458984,7365000.0,4.840425968170166,NaN
BGR,Bulgaria,1997.0,4.567999858409E-4,4000.0,0.0240400005131959,0.0431220009922981,0.0036212999839335,29000.0,0.1168200001120567,0.3449763059616089,147000.0,1.768002986907959,7000.0,0.086244098842144,NaN
BGR,Bulgaria,2000.0,1.704000023892E-4,2000.0,0.0089699998497962,0.0252365991473197,0.0020524999126791,19000.0,0.066210001707077,0.2334385067224502,720000.0,8.81387996673584,57000.0,0.6940063238143921,NaN
BGR,Bulgaria,2001.0,4.942999803461E-4,12000.0,0.026019999757409,0.1519179940223693,0.0047233002260327,46000.0,0.1523600071668625,0.5696923136711121,703000.0,8.773262977600098,94000.0,1.1773639917373655,NaN
BGR,Bulgaria,2007.0,6.113999988883E-4,10000.0,0.0321800000965595,0.1310493052005767,0.0031310999765992,32000.0,0.101000003516674,0.4258612096309662,1037000.0,13.74835968017578,116000.0,1.5394079685211182,NaN
BGR,Bulgaria,2010.0,1.5699999494245276E-5,0.0,8.280000183731E-4,0.0,0.0011153999948874,10000.0,0.035980001091957,0.1319977045059204,950000.0,12.841360092163086,56000.0,0.7576541900634766,NaN
BIH,Bosnia and Herzegovina,2001.0,0.0010986999841406,7000.0,0.0578299984335899,0.1803901046514511,0.0040636002086102,16000.0,0.1310800015926361,0.427157312631607,549000.0,14.56484031677246,135000.0,3.5876948833465576,NaN
BIH,Bosnia and Herzegovina,2004.0,3.355999942868E-4,1000.0,0.0176699999719858,0.0288460999727249,0.0014447000576183,6000.0,0.0465999990701675,0.1658972054719925,211000.0,5.583530902862549,15000.0,0.3999738097190857,NaN
BIH,Bosnia and Herzegovina,2007.0,2.760000041013289E-11,0.0,1.460000009778639E-9,0.0,2.114999952027E-4,2000.0,0.0068199997767806,0.0622348003089427,387000.0,10.252809524536133,72000.0,1.8950990438461304,NaN
BIH,Bosnia and Herzegovina,2011.0,3.51999988197349E-5,0.0,0.0018500000005587,0.0,1.63100005011E-4,1000.0,0.0052600000053644,0.0304304007440805,316000.0,8.558734893798828,47000.0,1.2725770473480225,NaN
