Région,Portail,Type,Date,Nombre dannonces
PAYS DE LA LOIRE,LE FIGARO IMMO,VENTE,2018-06,26843.0
PAYS DE LA LOIRE,LE BON COIN,VENTE,2018-04,67712.0
PAYS DE LA LOIRE,LE BON COIN,VENTE,2018-05,66474.0
PAYS DE LA LOIRE,LE BON COIN,VENTE,2018-06,67409.0
PAYS DE LA LOIRE,LOGIC IMMO,VENTE,2018-04,36859.0
PAYS DE LA LOIRE,LOGIC IMMO,VENTE,2018-05,35054.0
PAYS DE LA LOIRE,LOGIC IMMO,VENTE,2018-06,34748.0
PAYS DE LA LOIRE,PARU VENDU,VENTE,2018-04,22568.0
PAYS DE LA LOIRE,PARU VENDU,VENTE,2018-05,21375.0
PAYS DE LA LOIRE,PARU VENDU,VENTE,2018-06,21138.0
PAYS DE LA LOIRE,SE LOGER,VENTE,2018-04,44699.0
PAYS DE LA LOIRE,SE LOGER,VENTE,2018-05,42312.0
PAYS DE LA LOIRE,SE LOGER,VENTE,2018-06,43120.0
PAYS DE LA LOIRE,BIEN ICI,VENTE,2018-04,27943.0
PAYS DE LA LOIRE,BIEN ICI,VENTE,2018-05,27391.0
PAYS DE LA LOIRE,BIEN ICI,VENTE,2018-06,27341.0
PAYS DE LA LOIRE,A VENDRE A LOUER,VENTE,2018-04,47545.0
PAYS DE LA LOIRE,A VENDRE A LOUER,VENTE,2018-05,47830.0
PAYS DE LA LOIRE,A VENDRE A LOUER,VENTE,2018-06,49572.0
