Alias du bureau,Code du bureau,Nom de la circonscription,Nom du canton,Nom du lieu de vote,Nom de la commune (UGLE),Nombre d'électeurs,Nom du tour de scrutin,Emargements à 10:00,Emargements à 12:00,Emargements à 14:00,Emargements à 16:00,Emargements à 18:00,Emargements à 19:00,Nombre d'enveloppes et bulletins,Nombre de bulletins blancs,Nombre de bulletins nuls,Nombre de suffrages exprimés,Nombre d'enveloppes,Nombre de bulletins sans enveloppe,Nombre d'inscrits,Nombre d'émargements,Nombre de procurations,Nombre de centaines possibles,Voix pour M. BRANCHE  Romain et Mme. PELLOUX-GERVAIS Isabelle,Voix pour Mme. ROMERA Sophie et M. TROCME Benjamin,Voix pour Mme. DESPLANQUES Axelle et M. TISSOT Grégory,Voix pour Mme. CARRIERE Louve et M. COEUR Alain,Voix pour M. DUPONT-FERRIER Stéphane et Mme. SPINI ALIM Dominique,Voix pour Mme. POSTEL Sylviane et M. VIRETTE Jean-Louis,Voix pour M. CUCAROLLO Jérôme et Mme. KAZAZIAN-BALESTAS Eléonore,Voix pour Mme. PEREZ Kathy et M. PERIER François-Marie,Voix pour M. LAVAL Sylvain et Mme. SEGHIER Sabrina,Voix pour M. BILLOUET Simon et Mme. COUVENT Pauline,Voix pour Mme. HAMEDI Sandra et M. THIRIET Adam,Voix pour Mme. BACHA Néjia et M. EDWIGE Romain,Voix pour Mme. GAUVIN Valérie et M. OROSCO Damien,Voix pour Mme. DUPRE Christel et M. VIRONE Joseph,Voix pour Mme. GERMAIN Amandine et M. TCHETCHE Pierre Didier,Voix pour M. CHAPPET Clément et Mme. MANSOURI Hanane,Voix pour M. BIJU-DUVAL Bertrand et Mme. MOKONDJIMOBE Leila Angela
CAPUCHE 1er bureau,73,38-01,Grenoble-4,CAPUCHE,Grenoble,1040,Grenoble Elections départementales 2021 Tour 1,148.0,148.0,185.0,224.0,293.0,293.0,323,8,4,311,323.0,0.0,1052,323,7.0,4,,,,,,,,,,,,,,52.0,167.0,39.0,53.0
SIDI BRAHIM 1er bureau,74,38-03,Grenoble-4,SIDI BRAHIM,Grenoble,849,Grenoble Elections départementales 2021 Tour 1,83.0,83.0,115.0,145.0,192.0,223.0,247,9,0,238,247.0,0.0,849,247,9.0,3,,,,,,,,,,,,,,48.0,118.0,29.0,43.0
SIDI BRAHIM 2ème bureau,75,38-03,Grenoble-4,SIDI BRAHIM,Grenoble,808,Grenoble Elections départementales 2021 Tour 1,102.0,102.0,149.0,183.0,238.0,256.0,316,9,1,306,316.0,0.0,808,316,15.0,4,,,,,,,,,,,,,,37.0,159.0,45.0,65.0
SIDI BRAHIM 3ème bureau,76,38-03,Grenoble-4,SIDI BRAHIM,Grenoble,1122,Grenoble Elections départementales 2021 Tour 1,142.0,142.0,177.0,215.0,284.0,318.0,354,3,3,348,,,1122,354,,4,,,,,,,,,,,,,,42.0,190.0,56.0,60.0
SIDI BRAHIM 4ème bureau,77,38-03,Grenoble-4,SIDI BRAHIM,Grenoble,667,Grenoble Elections départementales 2021 Tour 1,83.0,83.0,103.0,140.0,180.0,206.0,237,4,2,231,237.0,0.0,667,237,3.0,3,,,,,,,,,,,,,,33.0,131.0,30.0,37.0
VIGNY MUSSET 1er bureau,78,38-03,Grenoble-4,VIGNY MUSSET,Grenoble,1410,Grenoble Elections départementales 2021 Tour 1,129.0,129.0,158.0,197.0,235.0,267.0,300,12,4,284,300.0,0.0,1410,300,5.0,3,,,,,,,,,,,,,,57.0,123.0,48.0,56.0
VIGNY MUSSET 2ème Bureau,79,38-03,Grenoble-4,VIGNY MUSSET,Grenoble,748,Grenoble Elections départementales 2021 Tour 1,76.0,76.0,94.0,113.0,134.0,143.0,176,11,5,160,176.0,0.0,748,176,1.0,2,,,,,,,,,,,,,,39.0,74.0,21.0,26.0
BEAUVERT 1er bureau,80,38-03,Grenoble-4,BEAUVERT,Grenoble,853,Grenoble Elections départementales 2021 Tour 1,65.0,65.0,87.0,119.0,150.0,160.0,168,4,3,161,168.0,0.0,853,168,6.0,2,,,,,,,,,,,,,,25.0,83.0,23.0,30.0
BEAUVERT 2ème bureau,81,38-03,Grenoble-4,BEAUVERT,Grenoble,856,Grenoble Elections départementales 2021 Tour 1,110.0,110.0,130.0,161.0,203.0,221.0,238,7,2,229,238.0,0.0,856,238,1.0,3,,,,,,,,,,,,,,56.0,84.0,48.0,41.0
ARLEQUIN 1er bureau,82,38-03,Grenoble-4,ARLEQUIN,Grenoble,877,Grenoble Elections départementales 2021 Tour 1,37.0,37.0,48.0,83.0,98.0,106.0,118,4,0,114,118.0,0.0,877,118,1.0,2,,,,,,,,,,,,,,10.0,63.0,27.0,14.0
ARLEQUIN 2ème bureau,83,38-03,Grenoble-4,ARLEQUIN,Grenoble,837,Grenoble Elections départementales 2021 Tour 1,36.0,36.0,60.0,85.0,117.0,131.0,193,4,5,184,,,837,193,,2,,,,,,,,,,,,,,11.0,127.0,23.0,23.0
ARLEQUIN 3ème bureau,84,38-03,Grenoble-4,ARLEQUIN,Grenoble,641,Grenoble Elections départementales 2021 Tour 1,32.0,32.0,52.0,61.0,83.0,89.0,129,7,5,117,129.0,0.0,641,129,7.0,2,,,,,,,,,,,,,,13.0,65.0,14.0,25.0
