mission,programme,libelle_programme,action,libelle_action,t_categorie,valeur
Recherche et enseignement supérieur,193,Recherche spatiale,5,Maîtrise des technologies orbitales et de l'innovation technologique,T3,121031679
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,3,Coordination de la politique européenne,T3,2894710
Défense,212,Soutien de la politique de la défense,6,Accompagnement de la politique des ressources humaines,T1,0
Recherche et enseignement supérieur,172,Recherches scientifiques et technologiques pluridisciplinaires,10,Recherches scientifiques en sciences de l'homme et de la société,T6,1229890
Recherche et enseignement supérieur,193,Recherche spatiale,7,Développement des satellites de météorologie,T6,37061000
Défense,178,Préparation et emploi des forces,1,Planification  des moyens et conduite des opérations,T5,32913643
Enseignement scolaire,141,Enseignement scolaire public du second degré,4,Apprentissage,T2,5285175
Ville et logement,177,Prévention de l'exclusion et insertion des personnes vulnérables,12,Hébergement et logement adapté,T6,1070035755
Outre-mer,138,Emploi outre-mer,2,Aide à l'insertion et à la qualification professionnelle,T5,57041680
Conseil et contrôle de l'État,126,"Conseil économique, social et environnemental",1,Représentation des activités économiques et sociales,T3,0
Défense,212,Soutien de la politique de la défense,9,Communication,T6,10000
"Écologie, développement et aménagement durables",159,Information géographique et cartographique,3,Pilotage de la politique d'information géographique,T3,292970
Gestion des finances publiques et des ressources humaines,221,Stratégie des finances publiques et modernisation de l'État,5,Information financière de l'Etat,T5,18711064
Justice,166,Justice judiciaire,6,Soutien,T6,46783674
Recherche et enseignement supérieur,187,Recherche dans le domaine de la gestion des milieux et des ressources,6,"Diffusion, valorisation et transfert des connaissances et des technologies",T3,73461773
Recherche et enseignement supérieur,192,Recherche et enseignement supérieur en matière économique et industrielle,1,Organismes de formation supérieure et de recherche,T5,0
Action extérieure de l'État,185,Diplomatie culturelle et d'influence,4,Attractivité et recherche,T3,8700426
"Agriculture, pêche, alimentation, forêt et affaires rurales",215,Conduite et pilotage des politiques de l'agriculture,4,Moyens communs,T2,44861474
Défense,144,Environnement et prospective de la politique de défense,4,Maîtrise des capacités technologiques et industrielles,T6,24465468
Enseignement scolaire,141,Enseignement scolaire public du second degré,1,Enseignement en collège,T6,57378949
Pouvoirs publics,542,Indemnités des représentants français au Parlement européen,1,Indemnités des représentants français au Parlement européen,T1,0
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,11,Recherche universitaire en sciences de l'homme et de la société,T6,15245
Recherche et enseignement supérieur,231,Vie étudiante,3,"Santé des étudiants et activités associatives, culturelles et sportives",T3,50379651
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",1,Fonctions de pilotage et de contrôle,T5,-258019
Ville et logement,147,Politique de la ville et Grand Paris,1,Actions territorialisées et Dispositifs spécifiques de la politique de la ville,T6,358901103
Économie,305,Stratégie économique et fiscale,1,"Définition et mise en oeuvre de la politique économique et financière de la France dans le cadre national, international et européen",T2,58483529
Engagements financiers de l'État,145,Épargne,1,Épargne logement,T3,640632
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,12,Soutien,T6,0
Enseignement scolaire,230,Vie de l'élève,1,Vie scolaire et éducation à la responsabilité,T3,21275671
Culture,175,Patrimoines,3,Patrimoine des musées de France,T3,303780191
Pouvoirs publics,511,Assemblée nationale,1,Assemblée nationale,T1,533910000
Défense,212,Soutien de la politique de la défense,2,Fonction de contrôle,T2,21408765
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,6,Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation,T2,274780200
"Agriculture, pêche, alimentation, forêt et affaires rurales",149,Forêt,4,Prévention des risques et protection de la forêt,T6,16384896
Aide publique au développement,301,Développement solidaire et migrations,2,Aides à la réinstallation des migrants dans leur pays d'origine,T6,3400000
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,6,Politique des ressources humaines,T6,18299712
"Écologie, développement et aménagement durables",207,Sécurité et circulation routières,2,Démarches interministérielles et communication,T3,28047979
Gestion des finances publiques et des ressources humaines,302,Facilitation et sécurisation des échanges,5,"Fiscalité douanière, énergétique et environnementale",T2,81300859
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",9,Gestion des politiques de la jeunesse et de la vie associative,T6,1350
Défense,212,Soutien de la politique de la défense,8,Promotion et valorisation du patrimoine culturel,T6,639148
Sécurité civile,128,Coordination des moyens de secours,3,Soutien à la politique de sécurité civile,T5,119220
Recherche et enseignement supérieur,192,Recherche et enseignement supérieur en matière économique et industrielle,1,Organismes de formation supérieure et de recherche,T7,0
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",2,"Statistiques, études et recherche",T2,15742030
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,2,Formation initiale et continue de niveau master,T3,1978728563
Recherche et enseignement supérieur,231,Vie étudiante,2,Aides indirectes,T3,205192646
Travail et emploi,103,Accompagnement des mutations économiques et développement de l'emploi,2,Amélioration de l'insertion dans l'emploi par l'adaptation des qualifications et la reconnaissance des compétences,T3,57426313
Travail et emploi,155,"Conception, gestion et évaluation des politiques de l'emploi et du travail",5,Soutien,T6,609189
"Immigration, asile et intégration",303,Immigration et asile,4,Soutien,T3,10080588
Conseil et contrôle de l'État,164,Cour des comptes et autres juridictions financières,4,Soutien aux activités des juridictions financières,T5,1436287
Défense,146,Équipement des forces,12,Parts étrangères et programmes civils,T3,-1049199
Défense,212,Soutien de la politique de la défense,3,Gestion centrale et organismes extérieurs,T4,319
"Écologie, développement et aménagement durables",113,"Urbanisme, paysages, eau et biodiversité",7,Gestion des milieux et biodiversité,T6,89684669
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,5,Gestion financière de l'État hors fiscalité,T5,969368
Gestion des finances publiques et des ressources humaines,302,Facilitation et sécurisation des échanges,2,Lutte contre la grande fraude douanière,T5,0
Justice,166,Justice judiciaire,4,Conseil supérieur de la magistrature,T2,2032046
Justice,166,Justice judiciaire,5,Enregistrement des décisions judiciaires,T6,0
Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,2,"Expertise, audit, prévision, études",T6,159465
Politique des territoires,162,Interventions territoriales de l'État,6,Plan gouvernemental sur le Marais Poitevin - Poitou Charentes,T6,3866231
Pouvoirs publics,541,La chaîne parlementaire,1,La chaîne parlementaire - Assemblée nationale,T1,32125000
Recherche et enseignement supérieur,172,Recherches scientifiques et technologiques pluridisciplinaires,10,Recherches scientifiques en sciences de l'homme et de la société,T3,311179089
Sécurité,176,Police nationale,6,"Commandement, ressources humaines et logistique",T5,82189154
"Sport, jeunesse et vie associative",163,Jeunesse et vie associative,4,Actions particulières en direction de la jeunesse,T3,70254232
Travail et emploi,155,"Conception, gestion et évaluation des politiques de l'emploi et du travail",3,Gestion des effectifs des services déconcentrés du programme « accompagnement des mutations économiques et développement de l’emploi »,T2,80156841
Gestion des finances publiques et des ressources humaines,302,Facilitation et sécurisation des échanges,4,Promotion des échanges internationaux et qualité du dédouanement,T2,217036498
Gestion des finances publiques et des ressources humaines,309,Entretien des bâtiments de l'État,1,Entretien immobilier,T3,64100640
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,1,Coordination de l'action diplomatique,T3,17021463
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,7,Gestion financière du secteur public local hors fiscalité,T3,32859584
Sécurité,176,Police nationale,6,"Commandement, ressources humaines et logistique",T7,1195
Travail et emploi,155,"Conception, gestion et évaluation des politiques de l'emploi et du travail",4,Gestion des effectifs du programme « amélioration de la qualité de l’emploi et des relations du travail »,T2,266087080
