Code dossier_T0_Début suspension_Fin suspension_Date avis définitif_Date envoi CEPS
CT-18732;17/06/2020;17/06/2020;07/09/2020;06/01/2021;18/01/2021
CT-18731;15/10/2020;03/07/2020;22/07/2020;18/11/2020;01/12/2020
CT-18727;16/06/2020;;;08/07/2020;10/07/2020
CT-18726;17/06/2020;;;23/09/2020;06/10/2020
CT-18725;29/06/2020;;;08/07/2020;09/07/2020
CT-18722;12/06/2020;;;16/12/2020;22/12/2020
CT-18721;12/06/2020;;;09/09/2020;18/09/2020
CT-18720;11/06/2020;;;22/07/2020;28/07/2020
CT-18717;09/06/2020;08/06/2020;18/09/2020;21/10/2020;02/11/2020
CT-18716;08/06/2020;;;16/09/2020;02/10/2020
CT-18712;12/06/2020;;;24/06/2020;29/06/2020
CT-18710;02/06/2020;;;24/06/2020;25/06/2020
CT-18707;29/05/2020;;;24/06/2020;24/06/2020
CT-18706;28/05/2020;;;08/07/2020;10/07/2020
CT-18701;26/05/2020;;;08/07/2020;09/07/2020
CT-18696;26/05/2020;25/05/2020;03/09/2020;16/12/2020;16/12/2020
CT-18688;26/05/2020;;;16/12/2020;16/12/2020
CT-18685;30/06/2020;;;22/07/2020;30/07/2020
CT-18684;18/05/2020;;;24/06/2020;26/06/2020
CT-18683;15/05/2020;21/08/2020;02/09/2020;21/10/2020;22/10/2020
CT-18682;14/05/2020;;;04/11/2020;04/11/2020
CT-18681;14/05/2020;;;08/07/2020;10/07/2020
CT-18680;13/05/2020;;;24/06/2020;25/06/2020
CT-18679;13/05/2020;;;08/07/2020;10/07/2020
CT-18678;12/05/2020;;;21/10/2020;18/11/2020
CT-18673;22/07/2020;;;22/07/2020;09/09/2020
CT-18672;07/05/2020;;;03/06/2020;09/06/2020
CT-18671;29/07/2020;;;07/10/2020;22/10/2020
CT-18668;06/05/2020;;;03/06/2020;11/06/2020
CT-18667;05/05/2020;;;10/06/2020;10/06/2020
CT-18664;04/05/2020;13/10/2020;03/11/2020;04/11/2020;12/11/2020
CT-18663;04/05/2020;;;13/05/2020;14/05/2020
CT-18662;17/06/2020;;;16/09/2020;02/10/2020
CT-18658;30/04/2020;;;07/10/2020;15/10/2020
CT-18655;29/04/2020;;;03/06/2020;11/06/2020
CT-18654;14/05/2020;;;27/05/2020;02/06/2020
CT-18653;29/04/2020;;;08/07/2020;09/07/2020
CT-18651;24/04/2020;;;13/05/2020;14/05/2020
CT-18650;27/04/2020;;;10/03/2021;10/03/2021
CT-18649;10/06/2020;;;24/06/2020;26/06/2020
CT-18648;10/06/2020;;;24/06/2020;26/06/2020
CT-18646;10/06/2020;;;24/06/2020;26/06/2020
CT-18644;22/04/2020;;;27/05/2020;28/05/2020
CT-18643;22/04/2020;;;16/09/2020;18/09/2020
CT-18642;10/06/2020;;;24/06/2020;26/06/2020
CT-18641;22/04/2020;;;13/05/2020;25/05/2020
CT-18640;23/04/2020;;;10/06/2020;11/06/2020
CT-18639;17/04/2020;;;22/04/2020;24/04/2020
CT-18635;16/04/2020;;;13/05/2020;14/05/2020
CT-18633;14/04/2020;;;13/05/2020;14/05/2020
CT-18631;18/05/2020;09/04/2020;17/06/2020;23/09/2020;09/10/2020
CT-18628;27/04/2020;;;13/05/2020;15/05/2020
CT-18626;09/04/2020;;;13/05/2020;14/05/2020
CT-18625;27/04/2020;;;13/05/2020;18/05/2020
CT-18624;27/04/2020;;;27/05/2020;28/05/2020
CT-18622;06/04/2020;;;22/04/2020;23/04/2020
CT-18620;09/04/2020;;;22/04/2020;23/04/2020
CT-18616;30/04/2020;07/04/2020;30/04/2020;24/06/2020;24/06/2020
CT-18614;03/04/2020;;;13/05/2020;14/05/2020
CT-18613;02/04/2020;;;22/04/2020;24/04/2020
CT-18611;01/04/2020;;;08/07/2020;21/07/2020
CT-18608;31/03/2020;;;24/06/2020;29/06/2020
CT-18606;30/06/2020;;;16/09/2020;18/09/2020
CT-18604;26/03/2020;;;22/04/2020;27/04/2020
CT-18603;26/03/2020;09/06/2020;22/06/2020;09/09/2020;11/09/2020
CT-18601;25/03/2020;;;15/04/2020;22/04/2020
CT-18600;25/03/2020;;;13/05/2020;25/05/2020
CT-18599;26/03/2020;;;15/04/2020;21/04/2020
CT-18596;24/03/2020;;;21/10/2020;22/10/2020
CT-18594;11/05/2020;;;09/09/2020;10/09/2020
CT-18592;20/03/2020;;;22/04/2020;04/05/2020
CT-18591;20/03/2020;;;22/04/2020;24/04/2020
CT-18589;20/03/2020;;;10/06/2020;12/06/2020
CT-18587;03/04/2020;;;22/04/2020;28/04/2020
CT-18585;19/03/2020;;;13/05/2020;19/05/2020
CT-18582;19/03/2020;;;13/05/2020;15/05/2020
CT-18581;18/03/2020;;;15/04/2020;16/04/2020
CT-18580;18/03/2020;;;16/09/2020;18/09/2020
CT-18579;27/03/2020;21/08/2020;28/08/2020;23/09/2020;14/10/2020
CT-18579;27/03/2020;26/06/2020;03/07/2020;23/09/2020;14/10/2020
CT-18579;27/03/2020;16/07/2020;29/07/2020;23/09/2020;14/10/2020
CT-18577;24/03/2020;;;22/04/2020;28/04/2020
CT-18576;18/03/2020;;;29/04/2020;29/04/2020
CT-18571;16/03/2020;;;15/04/2020;16/04/2020
CT-18570;16/03/2020;;;23/09/2020;14/10/2020
CT-18566;16/03/2020;;;15/04/2020;27/04/2020
CT-18563;12/03/2020;;;22/04/2020;22/04/2020
CT-18557;16/03/2020;;;03/06/2020;16/06/2020
CT-18556;09/03/2020;;;01/04/2020;08/04/2020
CT-18554;09/03/2020;;;13/05/2020;26/05/2020
CT-18553;09/03/2020;;;15/04/2020;24/04/2020
CT-18551;09/03/2020;;;09/09/2020;25/09/2020
CT-18539;04/03/2020;;;01/04/2020;07/04/2020
CT-18538;04/03/2020;;;15/04/2020;22/04/2020
CT-18537;04/03/2020;;;15/04/2020;22/04/2020
CT-18535;16/04/2020;;;22/04/2020;23/04/2020
CT-18533;05/03/2020;;;22/07/2020;04/08/2020
CT-18532;03/03/2020;;;15/04/2020;24/04/2020
CT-18527;02/03/2020;;;22/04/2020;05/05/2020
CT-18526;03/03/2020;;;16/09/2020;18/09/2020
CT-18525;03/03/2020;;;15/04/2020;16/04/2020
CT-18522;03/03/2020;;;16/09/2020;17/09/2020
CT-18519;03/03/2020;;;15/04/2020;20/04/2020
CT-18518;02/03/2020;;;22/04/2020;24/04/2020
